mu sigma nu tau
1.45860261218556 0.3493132609431803 3.026517353931971 4.105823799924902
1.4561984970817776 0.17610185413149082 3.9532189000390474 11.495289668428475
1.3618134456380842 0.21271494900365265 4.134506776517254 11.49906891440835
1.3148592218864044 0.138826645654744 4.445159404794098 8.273056638593788
1.5320966435888843 0.278931101785855 2.255942430937146 6.202483690747293
1.3326380930452784 0.1728347675187739 2.5576447453267606 6.558143992696831
1.326500647284866 0.1601821926634395 6.657472489253561 6.854338852323213
1.4349161732186189 0.1512630157727314 1.3495624215263833 8.399243492085656
1.3496073376151756 0.26005574226319567 7.576499657383794 2.3599011207990728
1.3442125106983782 0.11681764416727171 3.281959367560746 12.603222006262325
1.4921509813732985 0.26807496505157935 5.746293485989536 14.608826612358671
1.5130592350220549 0.26776785433873346 7.577710570206893 19.526625735103462
1.4637453766809423 0.2472264609985506 2.667231008778299 17.280630309735844
1.4976895318982404 0.2837462518869809 4.992148985218527 3.7734076919055424
1.491022830661072 0.2575735539167668 2.649667404833168 12.234285254537983
1.5353015249798565 1.625371054506874 4.071062201854995 2.0540020129169396
1.4917173842641778 0.2696751144598418 2.888950931723385 8.662071249687928
1.4167145187720256 0.20061400067034485 1.3989041040384143 14.938183672022966
1.502263948180388 0.2616449836313203 4.327998621020646 17.61443748593435
1.5182860181997557 0.2857902563047917 5.153734162569746 5.894302493996253
1.5025986103888784 0.26559911231559047 5.677232171105665 17.03300641950432
1.472041942115681 0.22562423835860362 5.93884345340191 7.514460731126373
1.3582938911590032 0.16938144631875923 2.1103436177133803 19.19110530757273
1.3987138672376551 0.20407951979175248 1.256820024895541 2.3397025352274095
1.376086070190741 0.19478287637586986 3.703364972532391 16.62830992304041
1.3933969088483062 0.2641820659698875 3.828972723677687 3.7370187881013166
1.4950168727848905 0.26291856008690045 7.248995037401588 15.105135071990523
1.4922081470769242 0.25136292123352444 3.1741988066493367 14.713608710503204
1.4284846714095525 0.22441289495639447 2.606466070452549 19.970636871366445
1.4237622426218168 0.18927016942961292 1.3961667177793302 12.470265232151613
1.3708083792451662 0.18499637715527792 3.4146428901825336 17.738897850561255
1.4739218708691748 0.26026118149061617 4.387635228516093 9.77502503418109
1.4015451533551673 0.3284824698006065 3.998301131190038 2.838647266707332
1.5179974527365516 0.3565894938277109 3.5335112712932233 2.896559605141883
1.427050543858047 0.24770849069838652 5.866375873430179 6.836997657538582
1.3510979316133072 0.10835933042134276 2.037335636359543 4.320788750840413
1.426316656994773 0.22454687234783982 4.851430022739738 18.687501518955315
1.3426924740837116 0.1554272820638028 5.019943833155743 9.216050192463438
1.4425219031948848 0.25342184176706856 2.2126447286263513 5.675401897264431
1.4138482346200756 0.22709669795852788 7.875156380366194 9.811134484181455
1.4198773566204148 0.21664412811388883 1.5817342293180707 6.907484402835413
1.4636821229763888 0.17855634102636175 2.3897128982244578 10.648012502062496
1.5118776712608697 1.0852063672255254 7.913280442411172 2.1099096494740963
1.4408666022021976 0.1659972929877316 2.9832414606760773 9.750352345359406
1.4655019657281838 0.21169233401955712 5.6458762046803965 19.268915835816955
1.4136456919880707 0.17402809413209405 6.255073193119694 12.360882911155768
1.4381697118410761 0.2394369886629457 7.625825512253112 10.274282745916409
1.4233198446639967 0.2067282024718576 1.368867818808197 4.6746415777653825
1.3736486400131063 0.18199591835533602 2.95724916080043 16.719036348565652
1.425031155346277 0.1845073273422387 6.880634189525959 15.819524206198812
1.4229217981271018 0.22246078721976728 1.3396753353559534 3.6380019421995824
1.4803518464899696 0.2261384084029949 5.207147189783797 19.096850234562112
1.4515530401232364 0.24752959699962696 5.034785846931915 9.336849325411526
1.4850186769469378 0.2415267368944502 4.393778728670858 19.878966721558648
1.398201107127722 0.200078002732022 7.755785234832737 3.80242006890004
1.4742509197752782 0.23470262559857663 6.326233700821793 9.412724874189431
1.3957894772604345 0.21979700336172794 4.875515479114165 6.9351341193898985
1.4928378608235273 0.2300719735290067 3.3312378085086722 12.417448302221429
1.3535205459524677 0.11161992411277168 1.6510892560521797 5.080973232700019
1.473511142884997 0.21175480298265745 4.331358539909583 15.707445960621632
1.353271105252622 0.13107163119815868 1.2664027317640199 4.482969393945357
1.4755116467518166 0.2522150597174563 5.016860085153728 11.213957858695663
1.3407609500438906 0.23047206075321106 6.674793801450143 2.756242996739395
1.3601534900549583 0.16190510415908765 2.948598663230319 17.131060780215407
1.46894644562503 0.24235416096721918 3.135383402580954 11.189526677565528
1.4645652981855224 0.3034776373160935 3.9914637781728493 4.0454458035295
1.3373975504931868 0.18614229808700694 6.6524531531383015 3.490019921374132
1.4406255590965997 0.16297116791698896 2.7725925086257694 14.431281564168877
1.431236085462615 0.2554189865206593 7.570502026017678 5.5684343253232065
1.3453739531650561 0.15655625200165332 6.638995301178165 8.525984039340395
1.396079574571428 0.1292600991885314 2.0780143835016034 13.562828736137547
