
0it [00:00, ?it/s]
543it [00:13, 52.47it/s, bound:0 nc:  1 ncall:1.9e+03 eff:28.0% logz=-104.38+/-0.15 dlogz:76.184>0.1]
549it [00:13, 43.19it/s, bound:0 nc:  4 ncall:2.0e+03 eff:27.5% logz=-103.35+/-0.15 dlogz:75.131>0.1]
557it [00:13, 49.46it/s, bound:0 nc:  5 ncall:2.0e+03 eff:27.5% logz=-101.79+/-0.15 dlogz:73.598>0.1]
563it [00:13, 49.92it/s, bound:0 nc:  2 ncall:2.1e+03 eff:27.4% logz=-99.27+/-0.17 dlogz:71.194>0.1] 
569it [00:14, 50.41it/s, bound:0 nc: 14 ncall:2.1e+03 eff:27.2% logz=-98.00+/-0.16 dlogz:69.761>0.1]
575it [00:14, 42.04it/s, bound:0 nc: 13 ncall:2.2e+03 eff:26.7% logz=-96.83+/-0.16 dlogz:68.549>0.1]
581it [00:14, 42.27it/s, bound:0 nc: 15 ncall:2.2e+03 eff:26.6% logz=-94.63+/-0.17 dlogz:66.631>0.1]
588it [00:14, 43.95it/s, bound:0 nc: 13 ncall:2.2e+03 eff:26.4% logz=-91.97+/-0.17 dlogz:63.853>0.1]
594it [00:14, 45.95it/s, bound:0 nc: 11 ncall:2.3e+03 eff:26.3% logz=-90.33+/-0.16 dlogz:62.028>0.1]
602it [00:14, 52.04it/s, bound:0 nc: 15 ncall:2.3e+03 eff:26.2% logz=-88.82+/-0.16 dlogz:60.505>0.1]
608it [00:14, 45.66it/s, bound:0 nc:  2 ncall:2.3e+03 eff:26.0% logz=-87.22+/-0.16 dlogz:58.930>0.1]
616it [00:15, 50.78it/s, bound:0 nc:  8 ncall:2.4e+03 eff:26.0% logz=-85.72+/-0.16 dlogz:57.355>0.1]
624it [00:15, 55.42it/s, bound:0 nc:  2 ncall:2.4e+03 eff:26.0% logz=-84.71+/-0.15 dlogz:56.261>0.1]
630it [00:15, 49.73it/s, bound:0 nc: 14 ncall:2.4e+03 eff:25.9% logz=-84.00+/-0.15 dlogz:55.547>0.1]
636it [00:15, 35.95it/s, bound:0 nc:  6 ncall:2.5e+03 eff:25.5% logz=-82.70+/-0.16 dlogz:54.325>0.1]
642it [00:15, 39.96it/s, bound:0 nc: 16 ncall:2.5e+03 eff:25.4% logz=-81.59+/-0.16 dlogz:53.138>0.1]
647it [00:15, 36.55it/s, bound:0 nc:  9 ncall:2.6e+03 eff:25.2% logz=-80.85+/-0.15 dlogz:52.358>0.1]
657it [00:16, 45.19it/s, bound:0 nc: 15 ncall:2.6e+03 eff:25.2% logz=-79.56+/-0.15 dlogz:51.041>0.1]
663it [00:16, 41.32it/s, bound:0 nc: 22 ncall:2.7e+03 eff:24.9% logz=-78.56+/-0.15 dlogz:50.099>0.1]
670it [00:16, 45.84it/s, bound:0 nc:  8 ncall:2.7e+03 eff:24.9% logz=-77.52+/-0.15 dlogz:48.958>0.1]
678it [00:16, 50.78it/s, bound:0 nc: 15 ncall:2.7e+03 eff:24.9% logz=-76.57+/-0.15 dlogz:47.986>0.1]
684it [00:16, 50.90it/s, bound:0 nc: 15 ncall:2.8e+03 eff:24.8% logz=-75.90+/-0.15 dlogz:47.310>0.1]
690it [00:16, 45.34it/s, bound:0 nc: 12 ncall:2.8e+03 eff:24.6% logz=-75.26+/-0.15 dlogz:46.629>0.1]
696it [00:16, 46.94it/s, bound:0 nc:  6 ncall:2.8e+03 eff:24.6% logz=-74.73+/-0.15 dlogz:46.069>0.1]
702it [00:17, 48.33it/s, bound:0 nc: 13 ncall:2.9e+03 eff:24.5% logz=-74.25+/-0.15 dlogz:45.579>0.1]
707it [00:17, 44.07it/s, bound:0 nc: 13 ncall:2.9e+03 eff:24.3% logz=-73.85+/-0.15 dlogz:45.172>0.1]
712it [00:17, 32.53it/s, bound:0 nc: 58 ncall:3.0e+03 eff:23.9% logz=-73.35+/-0.15 dlogz:44.668>0.1]
717it [00:17, 35.50it/s, bound:0 nc:  4 ncall:3.0e+03 eff:23.9% logz=-72.91+/-0.15 dlogz:44.201>0.1]
722it [00:17, 32.69it/s, bound:0 nc:  3 ncall:3.1e+03 eff:23.6% logz=-72.40+/-0.15 dlogz:43.698>0.1]
726it [00:17, 25.64it/s, bound:0 nc:  7 ncall:3.1e+03 eff:23.3% logz=-72.01+/-0.15 dlogz:43.284>0.1]
730it [00:18, 24.58it/s, bound:0 nc:  7 ncall:3.2e+03 eff:23.1% logz=-71.66+/-0.15 dlogz:42.917>0.1]
733it [00:18, 23.35it/s, bound:0 nc:  6 ncall:3.2e+03 eff:22.9% logz=-71.43+/-0.15 dlogz:42.674>0.1]
739it [00:18, 29.56it/s, bound:0 nc:  9 ncall:3.2e+03 eff:22.9% logz=-71.00+/-0.15 dlogz:42.245>0.1]
743it [00:18, 24.96it/s, bound:0 nc:  4 ncall:3.3e+03 eff:22.6% logz=-70.59+/-0.15 dlogz:41.833>0.1]
748it [00:18, 28.92it/s, bound:0 nc:  5 ncall:3.3e+03 eff:22.5% logz=-70.03+/-0.15 dlogz:41.263>0.1]
753it [00:18, 32.27it/s, bound:0 nc:  6 ncall:3.4e+03 eff:22.4% logz=-69.50+/-0.15 dlogz:40.716>0.1]
757it [00:19, 30.98it/s, bound:0 nc: 12 ncall:3.4e+03 eff:22.3% logz=-69.12+/-0.15 dlogz:40.318>0.1]
761it [00:19, 31.00it/s, bound:0 nc:  9 ncall:3.4e+03 eff:22.3% logz=-68.79+/-0.15 dlogz:39.960>0.1]
765it [00:19, 26.76it/s, bound:0 nc: 13 ncall:3.5e+03 eff:22.0% logz=-68.48+/-0.15 dlogz:39.642>0.1]
773it [00:19, 32.85it/s, bound:0 nc: 26 ncall:3.5e+03 eff:21.9% logz=-67.86+/-0.15 dlogz:39.011>0.1]
778it [00:19, 35.43it/s, bound:0 nc: 16 ncall:3.6e+03 eff:21.9% logz=-67.50+/-0.15 dlogz:38.620>0.1]
782it [00:19, 35.23it/s, bound:0 nc:  2 ncall:3.6e+03 eff:21.8% logz=-67.21+/-0.15 dlogz:38.319>0.1]
786it [00:19, 34.29it/s, bound:0 nc: 11 ncall:3.6e+03 eff:21.7% logz=-66.92+/-0.15 dlogz:38.022>0.1]
790it [00:20, 34.33it/s, bound:0 nc: 13 ncall:3.7e+03 eff:21.6% logz=-66.67+/-0.15 dlogz:37.753>0.1]
794it [00:20, 26.59it/s, bound:0 nc: 17 ncall:3.7e+03 eff:21.4% logz=-66.40+/-0.15 dlogz:37.481>0.1]
799it [00:20, 30.18it/s, bound:0 nc: 23 ncall:3.7e+03 eff:21.3% logz=-66.05+/-0.15 dlogz:37.121>0.1]
803it [00:20, 29.55it/s, bound:0 nc: 10 ncall:3.8e+03 eff:21.2% logz=-65.79+/-0.15 dlogz:36.845>0.1]
809it [00:20, 33.06it/s, bound:0 nc: 15 ncall:3.8e+03 eff:21.2% logz=-65.44+/-0.15 dlogz:36.466>0.1]
813it [00:20, 33.56it/s, bound:0 nc: 23 ncall:3.9e+03 eff:21.1% logz=-65.23+/-0.15 dlogz:36.247>0.1]
817it [00:20, 29.85it/s, bound:0 nc: 24 ncall:3.9e+03 eff:20.9% logz=-65.04+/-0.14 dlogz:36.045>0.1]
822it [00:21, 28.06it/s, bound:0 nc: 30 ncall:4.0e+03 eff:20.8% logz=-64.81+/-0.14 dlogz:35.796>0.1]
827it [00:21, 29.83it/s, bound:0 nc: 12 ncall:4.0e+03 eff:20.7% logz=-64.58+/-0.14 dlogz:35.558>0.1]
831it [00:21, 24.87it/s, bound:0 nc:  1 ncall:4.1e+03 eff:20.5% logz=-64.41+/-0.14 dlogz:35.371>0.1]
834it [00:21, 23.85it/s, bound:0 nc:  3 ncall:4.1e+03 eff:20.3% logz=-64.28+/-0.14 dlogz:35.232>0.1]
837it [00:21, 23.06it/s, bound:0 nc: 16 ncall:4.1e+03 eff:20.2% logz=-64.15+/-0.14 dlogz:35.099>0.1]
840it [00:21, 23.71it/s, bound:0 nc:  8 ncall:4.2e+03 eff:20.1% logz=-64.02+/-0.14 dlogz:34.960>0.1]
843it [00:22, 20.53it/s, bound:0 nc: 16 ncall:4.2e+03 eff:20.0% logz=-63.89+/-0.14 dlogz:34.825>0.1]
846it [00:22, 18.32it/s, bound:0 nc:  3 ncall:4.3e+03 eff:19.8% logz=-63.75+/-0.14 dlogz:34.676>0.1]
849it [00:22, 19.95it/s, bound:0 nc:  9 ncall:4.3e+03 eff:19.7% logz=-63.59+/-0.14 dlogz:34.518>0.1]
852it [00:22, 20.22it/s, bound:0 nc: 31 ncall:4.3e+03 eff:19.6% logz=-63.45+/-0.14 dlogz:34.363>0.1]
855it [00:22, 20.31it/s, bound:0 nc: 15 ncall:4.4e+03 eff:19.5% logz=-63.30+/-0.14 dlogz:34.207>0.1]
858it [00:23, 16.12it/s, bound:0 nc:  3 ncall:4.5e+03 eff:19.3% logz=-63.16+/-0.14 dlogz:34.056>0.1]
860it [00:23, 16.76it/s, bound:0 nc:  3 ncall:4.5e+03 eff:19.2% logz=-63.06+/-0.14 dlogz:33.959>0.1]
865it [00:23, 20.41it/s, bound:0 nc: 21 ncall:4.5e+03 eff:19.1% logz=-62.80+/-0.14 dlogz:33.682>0.1]
868it [00:23, 21.62it/s, bound:0 nc:  7 ncall:4.6e+03 eff:19.1% logz=-62.65+/-0.14 dlogz:33.527>0.1]
871it [00:23, 22.63it/s, bound:0 nc: 11 ncall:4.6e+03 eff:19.0% logz=-62.52+/-0.14 dlogz:33.382>0.1]
874it [00:23, 21.88it/s, bound:0 nc: 19 ncall:4.6e+03 eff:18.9% logz=-62.39+/-0.14 dlogz:33.243>0.1]
880it [00:23, 21.97it/s, bound:0 nc: 45 ncall:4.7e+03 eff:18.7% logz=-62.14+/-0.14 dlogz:32.980>0.1]
883it [00:24, 17.91it/s, bound:0 nc: 17 ncall:4.8e+03 eff:18.5% logz=-62.03+/-0.14 dlogz:32.858>0.1]
885it [00:24, 17.80it/s, bound:0 nc: 10 ncall:4.8e+03 eff:18.4% logz=-61.96+/-0.14 dlogz:32.778>0.1]
888it [00:24, 19.55it/s, bound:0 nc:  7 ncall:4.8e+03 eff:18.4% logz=-61.84+/-0.14 dlogz:32.659>0.1]
892it [00:24, 23.05it/s, bound:0 nc: 10 ncall:4.9e+03 eff:18.3% logz=-61.70+/-0.14 dlogz:32.500>0.1]
895it [00:24, 19.94it/s, bound:0 nc:  9 ncall:4.9e+03 eff:18.2% logz=-61.59+/-0.14 dlogz:32.386>0.1]
901it [00:24, 25.82it/s, bound:0 nc: 22 ncall:5.0e+03 eff:18.2% logz=-61.39+/-0.14 dlogz:32.167>0.1]
904it [00:25, 23.17it/s, bound:0 nc: 28 ncall:5.0e+03 eff:18.1% logz=-61.29+/-0.14 dlogz:32.059>0.1]
907it [00:25, 21.37it/s, bound:0 nc: 18 ncall:5.1e+03 eff:17.9% logz=-61.19+/-0.14 dlogz:31.949>0.1]
911it [00:25, 19.90it/s, bound:0 nc: 43 ncall:5.1e+03 eff:17.8% logz=-61.06+/-0.14 dlogz:31.809>0.1]
915it [00:25, 22.90it/s, bound:0 nc: 19 ncall:5.1e+03 eff:17.8% logz=-60.93+/-0.14 dlogz:31.672>0.1]
918it [00:25, 18.29it/s, bound:0 nc:  7 ncall:5.2e+03 eff:17.6% logz=-60.84+/-0.14 dlogz:31.576>0.1]
921it [00:26, 15.17it/s, bound:0 nc: 59 ncall:5.3e+03 eff:17.4% logz=-60.74+/-0.14 dlogz:31.472>0.1]
924it [00:26, 17.33it/s, bound:0 nc:  8 ncall:5.3e+03 eff:17.3% logz=-60.63+/-0.14 dlogz:31.359>0.1]
927it [00:26, 16.86it/s, bound:0 nc: 32 ncall:5.4e+03 eff:17.3% logz=-60.51+/-0.14 dlogz:31.228>0.1]
929it [00:26, 12.94it/s, bound:0 nc: 19 ncall:5.5e+03 eff:17.0% logz=-60.43+/-0.14 dlogz:31.144>0.1]
931it [00:26, 13.02it/s, bound:0 nc: 13 ncall:5.5e+03 eff:17.0% logz=-60.35+/-0.14 dlogz:31.057>0.1]
933it [00:27, 11.99it/s, bound:0 nc: 21 ncall:5.5e+03 eff:16.9% logz=-60.26+/-0.14 dlogz:30.971>0.1]
935it [00:27, 10.82it/s, bound:0 nc:  6 ncall:5.6e+03 eff:16.7% logz=-60.18+/-0.14 dlogz:30.880>0.1]
939it [00:27, 14.00it/s, bound:0 nc: 26 ncall:5.7e+03 eff:16.6% logz=-60.01+/-0.14 dlogz:30.704>0.1]
943it [00:27, 17.20it/s, bound:0 nc: 15 ncall:5.7e+03 eff:16.6% logz=-59.84+/-0.14 dlogz:30.526>0.1]
947it [00:27, 17.79it/s, bound:0 nc: 34 ncall:5.7e+03 eff:16.5% logz=-59.69+/-0.14 dlogz:30.361>0.1]
949it [00:27, 17.78it/s, bound:0 nc: 26 ncall:5.8e+03 eff:16.4% logz=-59.62+/-0.14 dlogz:30.284>0.1]
953it [00:28, 20.39it/s, bound:0 nc: 17 ncall:5.8e+03 eff:16.4% logz=-59.48+/-0.14 dlogz:30.128>0.1]
957it [00:28, 22.38it/s, bound:0 nc: 16 ncall:5.9e+03 eff:16.3% logz=-59.33+/-0.14 dlogz:29.973>0.1]
961it [00:28, 23.95it/s, bound:0 nc: 32 ncall:5.9e+03 eff:16.3% logz=-59.18+/-0.14 dlogz:29.814>0.1]
964it [00:28, 18.77it/s, bound:0 nc: 28 ncall:6.0e+03 eff:16.2% logz=-59.08+/-0.14 dlogz:29.700>0.1]
968it [00:28, 19.25it/s, bound:0 nc: 42 ncall:6.0e+03 eff:16.1% logz=-58.93+/-0.14 dlogz:29.547>0.1]
973it [00:28, 24.27it/s, bound:0 nc:  4 ncall:6.1e+03 eff:16.1% logz=-58.72+/-0.14 dlogz:29.456>0.1]
976it [00:29, 20.19it/s, bound:0 nc: 48 ncall:6.1e+03 eff:16.0% logz=-58.60+/-0.14 dlogz:29.322>0.1]
979it [00:29, 20.33it/s, bound:0 nc: 13 ncall:6.2e+03 eff:15.9% logz=-58.47+/-0.14 dlogz:29.188>0.1]
983it [00:29, 19.26it/s, bound:0 nc: 45 ncall:6.2e+03 eff:15.8% logz=-58.29+/-0.14 dlogz:29.000>0.1]
