mu1 sigma1 mu2 sigma2 alpha mup
1.3580822251890476 0.06173195425196893 2.368852769298785 0.8895774850167234 0.9040923573263233 2.6207882829220983
1.335783837572471 0.10693191023248205 1.592554416210096 1.9308697217073596 0.488761922060365 1.9985339371011694
1.3530263938493199 0.04917142601114116 1.9919968472666159 1.6641738165677107 0.7999400550400451 2.4505427599460754
1.3855718198675413 0.13734343767985374 2.590950441147506 1.8153579161285298 0.8280388247288173 2.0308885912666534
1.3054946814259165 0.1255297989200309 1.8666005879455088 0.5100383573956746 0.5914446590975299 1.9853165528572498
1.3676731659234351 0.10723001874888738 1.9081306753192182 0.19045254381470175 0.9784157608137038 2.603757135208681
1.3308565619885555 0.10809449438547385 1.7254334508208145 0.9061743561629731 0.9124005763814201 2.791851363872513
1.2683472998697258 0.06553286562321436 1.7708989863285103 0.47656262308442726 0.6670854749139254 2.208112635449203
1.3030228706926925 0.03144442912710409 2.6324500811430207 0.9623214912295015 0.5748801247841602 1.9251118996672314
1.3566410454643845 0.10109997170213321 1.4281426346364143 0.34771707684399183 0.5255902532542602 2.321857077345172
1.3401605577374265 0.13491779092799844 2.6105946889414233 1.1898986862829133 0.7123000510778427 2.064083935418139
1.349475965407523 0.062126320384016435 1.9512788260676373 0.8110573730448305 0.9340343619883883 1.9697862251405736
1.3355292128430558 0.10511027682166463 1.3548157380202892 1.6391430084867349 0.8983930578851564 2.593589730369269
1.3579483074386274 0.06275862207168706 2.3867713146035636 1.1504617820827046 0.47091817060754604 2.023571786888074
1.2910787966002832 0.058973823525141696 2.274126288867696 1.4841943368329598 0.8021748696690165 2.4102710913727723
1.3112747846534547 0.06080763303454756 2.2016687596001807 0.8030775137643091 0.819327092771367 2.8895962315183183
1.3363092248795436 0.11800410031053293 2.292196824514202 1.4214695839058318 0.788736505203093 2.34203713612387
1.115870131534975 1.3831340845266626 1.305744202108559 0.0499392245808452 0.5077697680662698 2.1935810039964294
1.3071740245382226 0.08424880669278582 1.5389333950799144 1.3361156969779047 0.5063126275511821 1.9759693127400604
1.3097515417561065 0.05888787459910295 1.7039583437852461 0.44546693995639247 0.4822847754152499 2.434803413256232
1.3756970688183658 0.1140453508643383 2.3424175729909646 1.7091047004189757 0.7202306787489987 2.1007974769096363
1.3145340121378983 0.08229089544850822 2.123310744542629 0.2817345948085062 0.7119502884158374 2.2692251636703293
1.3131342865862852 0.0825987219134861 2.0857168787288 1.936054400519242 0.941825698521112 2.181996216453393
1.3679866300664412 0.09852850192674675 1.8334254396217808 0.05319210589426957 0.6926963004020115 2.26014312468664
1.369762376640371 0.0994060613616563 2.097114028290409 0.3152509570557107 0.882468032796142 2.72379788198357
1.3460702285194035 0.04825249828816176 1.7294321478549817 0.42092990107511646 0.624131404040965 2.843567381767406
1.3657223995571575 0.10796394683065058 1.5657064209196454 1.2937666184249317 0.668399842672956 1.9896472737669477
1.3144832052751019 0.10357322166457893 2.180786280005022 1.7954755570819672 0.8811746172919749 1.9532473924578269
0.9177445983984168 0.7381250934117324 1.3175490576662048 0.0782173360305606 0.10693568891133068 2.395826081096211
1.3412107024450413 0.10144184825259588 1.6506420793321488 1.8151727223383392 0.8126875481202472 2.6127791893036822
1.3451795034305172 0.08409809784902714 1.7718223514494995 1.4290775593678686 0.7914629182552642 2.855717142029632
1.3374524726692956 0.04320201824267265 2.5144722110314803 1.5806428807324884 0.5574639682928814 2.1974859170617247
1.3049692186866768 0.051729221818134566 1.6892286193141475 1.1694785016953648 0.5074569720730883 2.1954531066100533
1.3265270874877166 0.03998844237137083 1.8715101406066363 1.2577722319019247 0.7221857595408017 1.9044348964148337
