mu1 sigma1 mu2 sigma2 alpha mlo
1.1275733430472563 0.18203962194745002 1.3893963625557006 1.3578225331891052 0.7795508347556018 1.0924988493040042
1.245742590253669 0.1345409265248972 1.890327990504543 0.6732260448295933 0.667545815488534 1.1003410499355026
0.9374355939643886 0.2707836415911051 1.2391713516294822 1.394906772031749 0.9980988743727414 1.122754523087258
1.1617022045876855 0.07785420816554382 1.343717049214547 0.21235670253395814 0.2730249107452738 1.089295490723413
1.0560120555650632 0.24933517053275167 2.3646300257837427 0.6045926603377606 0.8566792653004025 1.130083135117683
0.9660146427269366 0.2827412238856376 1.6371014294481436 0.10921819498213206 0.6956828760566544 1.1787313290932449
1.3353806677232392 0.20563617540366916 1.6086402457281572 1.7094878124110304 0.9805602714292769 1.163359547057501
1.25866491023561 0.2337053989773164 1.5852631586539083 0.417304193996761 0.7600162649883837 1.162057006319853
1.3378317370568271 0.12039029374237935 1.7436197334241705 0.14124291827348262 0.7579690188045192 1.002039025226334
0.9188645186631341 0.3318735832055992 2.3692650466369063 0.19825281206453724 0.9289185687226342 1.1339806408828084
1.0348846290173532 0.2793628025264057 1.5554285539596227 0.8338972379044723 0.8546536888186266 1.1180219291783273
1.110391621697313 0.2641154565468321 1.1588060424153497 0.6021715901292418 0.5427291865678835 1.1711134843736064
1.3429703479505282 0.12004670391237035 1.5444547794958523 0.6328752836243466 0.8382083244340905 1.1618119160274758
1.098530028302863 0.49977964527353325 1.1459880937802402 0.19803152624487255 0.1377654843768128 1.1003239996807808
1.0363824448048808 0.24447732531587343 1.2730678170201857 0.4339870650894839 0.8852758746173756 1.1091756318414658
1.0588077225045314 0.5397814791700457 1.2562378041872668 0.07485552372239114 0.7422447480921311 1.1773552732949477
1.2248575911270427 0.31078266049297854 2.6236097898795134 1.3382849414010547 0.985769121418702 1.1535452663116499
1.2438024616853696 0.168529687828879 2.161334537224983 0.3783869979488613 0.9952220600058286 1.1736066135728835
0.9132236217246205 0.4191362883599049 1.377498683699205 1.4708267706552904 0.9064089087908892 1.1570457224300918
1.1147306670936203 0.19896168339875805 2.0957978274607476 0.46528617666596467 0.7325897017635867 1.1721680560287715
1.179948252028301 0.14785131706027038 1.8764822383869615 0.20994095200732144 0.9505902549327226 1.1118513342480116
1.010913141096273 0.3092140115898567 1.6240723958599355 1.9392332127068757 0.9951921000868245 1.1844142551981585
1.2075093885095685 0.2100239116741979 1.2732792954776175 1.4113131021238752 0.7744817984171322 1.1562207014270487
1.2835700425081629 0.08436900426773111 1.7792671082345777 0.3220513989505334 0.6012510514005156 0.9132119205978857
1.3094881721563083 0.08050023736577272 2.4827485623589043 1.026865785678802 0.9112886804116933 1.0941465598762563
1.2412028418704546 0.26675169081925787 2.7923535108793422 0.41070572759050716 0.9658248221851128 1.1648616837202477
