1;J1023+0038;4.760;-17.340;243.490;45.782;1.368;
2;J1903+0327;-2.060;-5.210;37.336;-1.014;6.122;
3;J2043+1711;-5.722;-10.831;61.919;-15.313;1.562;
4;J1125-6014;11.108;-13.047;292.504;0.894;0.989;
5;J0337+1715;4.810;-4.420;169.990;-30.039;1.300;
6;J0740+6620;-10.319;-30.867;149.730;29.599;0.929;
7;J1909-3744;-9.512;-35.782;359.731;-19.596;1.140;
8;J1614-2230;3.814;-32.484;352.636;20.192;0.700;
9;J1946+3417;-7.010;4.510;69.294;4.713;6.941;
10;J1910-5959A;-3.080;-3.970;336.525;-25.730;4.000;
11;J0751+1807;-2.730;-13.400;202.730;21.086;1.110;
12;J2234+0611;25.300;9.710;72.991;-43.006;0.971;
13;J1950+2414;-2.120;-3.640;61.098;-1.169;7.269;
14;J1713+0747;4.915;-3.914;28.751;25.223;1.149;
15;J1012+5307;2.980;-26.940;160.347;50.858;0.700;
16;B1855+09;-2.655;-5.408;42.290;3.060;1.200;
17;J0437-4715;121.439;-71.475;253.394;-41.963;0.157;
18;J1738+0333;7.066;5.115;27.721;17.742;1.471;
19;J1918-0642;-7.149;-5.972;30.027;-9.123;1.111;
20;J1802-2124;-0.850;4.800;8.382;0.611;0.760;
21;J1949+3106;-2.894;-5.093;66.858;2.554;7.468;
22;J2045+3633;-3.200;-2.680;77.832;-3.926;5.629;
23;J2222-0137;44.730;-5.680;62.018;-46.075;0.267;
24;J0348+0432;4.040;3.500;183.337;-36.774;2.100;
25;J1141-6545;2.900;1.800;295.791;-3.863;10.000;
