
0it [00:00, ?it/s]
420it [00:19, 36.44it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.6% logz=-23.33+/-0.13 dlogz:78.448>0.1]
427it [00:20, 42.19it/s, bound:0 nc: 10 ncall:1.2e+03 eff:35.7% logz=-22.86+/-0.13 dlogz:77.978>0.1]
434it [00:20, 46.60it/s, bound:0 nc:  2 ncall:1.2e+03 eff:35.9% logz=-22.41+/-0.13 dlogz:77.497>0.1]
441it [00:20, 50.23it/s, bound:0 nc:  3 ncall:1.2e+03 eff:36.0% logz=-21.97+/-0.13 dlogz:77.039>0.1]
447it [00:20, 48.35it/s, bound:0 nc:  1 ncall:1.2e+03 eff:36.0% logz=-21.63+/-0.13 dlogz:76.674>0.1]
453it [00:20, 48.73it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.9% logz=-21.29+/-0.13 dlogz:76.323>0.1]
459it [00:20, 49.45it/s, bound:0 nc:  5 ncall:1.3e+03 eff:36.0% logz=-20.96+/-0.13 dlogz:75.976>0.1]
465it [00:20, 50.65it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.0% logz=-20.66+/-0.13 dlogz:75.659>0.1]
471it [00:20, 51.08it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.1% logz=-20.39+/-0.13 dlogz:75.371>0.1]
477it [00:21, 39.28it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.8% logz=-20.12+/-0.13 dlogz:75.086>0.1]
482it [00:21, 35.56it/s, bound:0 nc:  2 ncall:1.4e+03 eff:35.5% logz=-19.83+/-0.13 dlogz:74.792>0.1]
486it [00:21, 31.70it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.3% logz=-19.62+/-0.13 dlogz:74.566>0.1]
491it [00:21, 32.61it/s, bound:0 nc:  8 ncall:1.4e+03 eff:35.2% logz=-19.35+/-0.13 dlogz:74.288>0.1]
495it [00:21, 29.66it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.1% logz=-19.14+/-0.13 dlogz:74.066>0.1]
499it [00:22, 22.92it/s, bound:0 nc:  5 ncall:1.4e+03 eff:34.7% logz=-18.93+/-0.13 dlogz:73.847>0.1]
502it [00:22, 24.12it/s, bound:0 nc:  4 ncall:1.4e+03 eff:34.7% logz=-18.75+/-0.13 dlogz:73.666>0.1]
507it [00:22, 27.57it/s, bound:0 nc:  5 ncall:1.5e+03 eff:34.7% logz=-18.38+/-0.13 dlogz:73.298>0.1]
511it [00:22, 29.94it/s, bound:0 nc:  2 ncall:1.5e+03 eff:34.7% logz=-18.10+/-0.13 dlogz:73.006>0.1]
515it [00:22, 30.85it/s, bound:0 nc:  4 ncall:1.5e+03 eff:34.6% logz=-17.82+/-0.13 dlogz:72.713>0.1]
522it [00:22, 34.40it/s, bound:0 nc: 12 ncall:1.5e+03 eff:34.4% logz=-17.37+/-0.13 dlogz:72.236>0.1]
528it [00:22, 39.50it/s, bound:0 nc:  8 ncall:1.5e+03 eff:34.5% logz=-17.04+/-0.13 dlogz:71.883>0.1]
533it [00:23, 32.75it/s, bound:0 nc:  2 ncall:1.6e+03 eff:34.1% logz=-16.80+/-0.13 dlogz:71.631>0.1]
537it [00:23, 29.56it/s, bound:0 nc:  3 ncall:1.6e+03 eff:34.0% logz=-16.62+/-0.13 dlogz:71.433>0.1]
545it [00:23, 34.37it/s, bound:0 nc:  5 ncall:1.6e+03 eff:34.2% logz=-16.24+/-0.13 dlogz:71.035>0.1]
549it [00:23, 29.29it/s, bound:0 nc:  4 ncall:1.6e+03 eff:34.0% logz=-16.04+/-0.13 dlogz:70.832>0.1]
553it [00:23, 26.40it/s, bound:0 nc:  2 ncall:1.6e+03 eff:34.0% logz=-15.83+/-0.13 dlogz:70.611>0.1]
556it [00:23, 26.95it/s, bound:0 nc:  3 ncall:1.6e+03 eff:33.9% logz=-15.65+/-0.13 dlogz:70.430>0.1]
560it [00:24, 26.82it/s, bound:0 nc:  1 ncall:1.6e+03 eff:34.0% logz=-15.43+/-0.13 dlogz:70.205>0.1]
564it [00:24, 28.83it/s, bound:0 nc:  3 ncall:1.7e+03 eff:33.9% logz=-15.21+/-0.13 dlogz:69.968>0.1]
568it [00:24, 30.82it/s, bound:0 nc:  2 ncall:1.7e+03 eff:33.8% logz=-15.01+/-0.13 dlogz:69.756>0.1]
572it [00:24, 27.97it/s, bound:0 nc: 10 ncall:1.7e+03 eff:33.5% logz=-14.83+/-0.13 dlogz:69.555>0.1]
577it [00:24, 31.31it/s, bound:0 nc:  9 ncall:1.7e+03 eff:33.5% logz=-14.59+/-0.13 dlogz:69.305>0.1]
582it [00:24, 30.41it/s, bound:0 nc: 21 ncall:1.8e+03 eff:33.3% logz=-14.35+/-0.13 dlogz:69.384>0.1]
586it [00:24, 27.87it/s, bound:0 nc:  3 ncall:1.8e+03 eff:33.1% logz=-14.13+/-0.13 dlogz:69.163>0.1]
590it [00:25, 29.83it/s, bound:0 nc: 10 ncall:1.8e+03 eff:32.9% logz=-13.91+/-0.13 dlogz:68.926>0.1]
594it [00:25, 27.32it/s, bound:0 nc:  1 ncall:1.8e+03 eff:32.8% logz=-13.70+/-0.13 dlogz:68.706>0.1]
600it [00:25, 32.09it/s, bound:0 nc:  4 ncall:1.8e+03 eff:32.9% logz=-13.37+/-0.13 dlogz:68.375>0.1]
604it [00:25, 29.84it/s, bound:0 nc:  2 ncall:1.8e+03 eff:32.8% logz=-13.13+/-0.13 dlogz:68.120>0.1]
610it [00:25, 34.07it/s, bound:0 nc:  5 ncall:1.9e+03 eff:32.8% logz=-12.83+/-0.13 dlogz:67.787>0.1]
614it [00:25, 33.82it/s, bound:0 nc:  1 ncall:1.9e+03 eff:32.8% logz=-12.62+/-0.13 dlogz:67.576>0.1]
618it [00:25, 34.34it/s, bound:0 nc:  4 ncall:1.9e+03 eff:32.7% logz=-12.42+/-0.13 dlogz:67.360>0.1]
622it [00:25, 33.85it/s, bound:0 nc:  6 ncall:1.9e+03 eff:32.5% logz=-12.22+/-0.13 dlogz:67.157>0.1]
626it [00:26, 26.84it/s, bound:0 nc:  1 ncall:1.9e+03 eff:32.3% logz=-11.98+/-0.13 dlogz:66.922>0.1]
630it [00:26, 28.30it/s, bound:0 nc:  4 ncall:2.0e+03 eff:32.2% logz=-11.71+/-0.14 dlogz:66.637>0.1]
634it [00:26, 29.79it/s, bound:0 nc:  1 ncall:2.0e+03 eff:32.2% logz=-11.45+/-0.14 dlogz:66.367>0.1]
