mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
0.9962349263896979 0.8791253089715249 1.2913584137757592 0.16837380891977094 0.04093037431392134 1.500567054120105 1.6440147805449625 0.9078800309202182
1.246594278412216 0.24222689203488842 1.3452371256483109 0.13121946139407237 0.14962365486949444 2.8605336461183803 1.2183781274552166 0.8063835423449771
1.2676835785055918 0.04964309553549258 1.6507416887203337 1.1188790781130762 0.4661955738965425 1.7724284362963996 0.3474813923930232 0.23712704181696476
1.3226699984004515 0.09406312927302343 1.694825611194049 1.2531143867235028 0.6259182979072341 2.5844511600864433 1.4388708649592454 0.35760724030444263
1.288675923564658 0.06665092129927126 1.4621106013659304 0.7166509475276579 0.47035222230740037 2.3055009709293093 1.7070175983284552 0.40657876516724517
0.9698149227356798 1.8106454194113955 1.329568185895135 0.10324867289925842 0.060246174965068004 2.622312026771617 1.8054894289153671 0.7306439049858987
1.2903030430781517 0.10437514256090223 1.2911002823776916 0.2332661212757704 0.25882098026523215 1.8096332099244739 1.880552911053053 0.7328524503251447
1.1531829738452881 1.1815752560805257 1.2633025579051163 0.1250109418336331 0.11278140732307261 1.2671708621276552 1.6555558549902103 0.7791955011371529
1.2745550056464547 0.1206257820206411 1.759911332042555 0.15047126372996739 0.6231764426336955 1.8006484123946307 1.4507246122202835 0.3761964666186929
1.3061975303122926 0.14213064659149816 1.3818252640575255 1.1075184111083154 0.8521576750200035 1.9026534789171858 0.6251203141620023 0.09993326598527046
1.02234772867217 0.24076694230580298 1.2525993836472527 0.06670687514694741 0.08064807835983964 1.6273228513587585 0.7181435443719028 0.8538253411651896
1.1172824343487886 1.3465160438814188 1.2717843724160844 0.13580523361369756 0.019557427808111934 1.9610256743967112 0.5310255507474926 0.9016471084497305
1.0353906554831758 1.8221771865761074 1.245084338077047 0.10372722609427419 0.04064567284685364 1.730042629080748 0.7797769111808769 0.7528422423712532
1.0476447331660208 0.7772047429615245 1.283219377380245 0.08879235106158515 0.2535202219178016 2.081196512262612 0.6825845613808287 0.5754845616917835
1.2595758241041448 0.05429203383309675 1.4018695869752253 1.756435848362595 0.697015821833293 1.6778015311053895 1.892302350867242 0.0633489574302055
1.2928003149007465 0.13899277427440382 1.5605662799243747 0.36427280035309634 0.8149837255423946 1.9675920963585023 1.4553999571541432 0.09254067272622182
1.2725514161253542 0.10539561286620419 1.410206978056109 1.1000741471648061 0.8034966796775451 2.420092839991707 0.8206500979712344 0.02144385783134818
1.2616051592235507 0.13514289033685456 1.6675338986681254 0.2209209704005545 0.6982169341152079 1.9910680027982064 0.16848073802686014 0.2588632625882271
1.2996799726733754 0.10508610747491001 2.273525577241546 1.0413733521052142 0.7783358055990754 2.6576035482592566 0.893181699683509 0.17306698737716716
1.2964627116395318 0.0644880209215136 1.344928932126061 0.9918673365292683 0.5404391123135235 1.4694110927910047 0.7538966556994078 0.1316225327264671
1.3226014647819617 0.10941268494130398 1.430806093290836 1.9291811938865657 0.821663370768449 2.2713685724046178 0.3435467027291413 0.16867123604592632
1.247302758316344 0.09088752391662092 1.3411167262615762 0.21746764735364013 0.46625655943932104 2.6470012593969114 1.618603283073313 0.40682357746023556
1.2813592111580527 0.11161432573553307 1.3054885345476435 0.07899255708568814 0.1853265707108958 1.415655885531974 1.0094825198417767 0.44349828251921125
1.3228316085890226 0.11018165876871948 1.643804935926889 1.8909610903702327 0.8832610380960082 2.293869439363785 0.5991789606052338 0.06315737794785609
1.3052940176519499 0.11959962493143365 1.9837997357031982 0.7839741685373298 0.8375169514713072 2.0169741786134727 1.0657214073610344 0.03596877959838689
1.1897763521126663 0.0324178253525555 1.3218989509428223 0.04176163569422878 0.41128851994634946 1.6024504329495382 0.6327346764696169 0.48177688520655665
1.3245307113236207 0.05560174643946319 1.6757713318490643 0.2218489237289739 0.8484850615087343 1.747120873963544 1.9064020784345646 0.0474226821545407
1.2414135063217193 0.08211247721615966 1.4177664852196943 0.15864160482899842 0.34216018635866674 1.5501769170535251 0.11098979404182135 0.6215454306393866
1.2553756932741713 0.07817337681849088 1.4264742101146184 1.6511868644407774 0.7100633177760428 1.8930771317462538 0.6023512674915318 0.2586100468819314
1.292718669405645 0.08398664654311093 1.4009463002210074 0.3206185759460378 0.5918725012226973 1.729992204191733 0.6521786185533405 0.015467332358531295
1.2896168933235725 0.10915290685567537 1.5496974035606734 1.5852820999135016 0.8689627777568046 2.880920974631742 0.996330325041895 0.05578805495663737
1.2156513567728604 1.2956914456553306 1.3305284462593523 0.10389299978768853 0.10143393502308125 1.98813083717175 0.5235984133080976 0.8037592675499657
1.32633311015053 0.12266928385401209 1.3412279876570912 0.8904906525099306 0.8944685646901822 1.4797886031099106 0.45719749434300877 0.08225737836461079
1.3283974451009484 0.08794971917390279 1.5011524641026863 0.5947112653360024 0.6614683596703873 2.7242596615041976 1.3581412575780185 0.30106988184582156
1.281863693965088 0.11812716622105557 1.4376440462136115 1.9618305637186928 0.8688645724351591 1.691620518878913 1.0669468646681313 0.014900310693689738
0.9807731509646369 0.5876523559196309 1.292879274532077 0.12607638219098044 0.20291359094077188 1.6173711493543035 0.6670874233790355 0.7641918637844364
1.296848822268958 0.11020289894261684 1.4195056266509578 0.6440251463363414 0.6490552670004313 1.582882855317796 0.6254029885319456 0.27527721353859297
0.917634565081354 1.818084651625993 1.279511170186165 0.05381119678638991 0.19715279947936856 1.327227464649146 1.1170256675423313 0.6189409059280446
1.2544056442299119 0.09896182359279974 1.6125213724771794 0.06837928665724273 0.9148824412204298 1.9648479094265934 1.6339368642096954 0.03326438211978857
1.2717004947326975 0.07590741226654389 1.6493699894163956 0.010275707170515277 0.8730466709114512 1.9400844450830856 1.029636215674561 0.10864760058798158
