s_mu s_sigma
1.0052565987013748 0.8010699663189579
0.9602497812500425 0.9080475093563743
0.9485025499023505 0.9247471991983878
0.9187116791828547 0.4694469431878076
0.9697104440709803 0.8335409744261576
0.9671588437511452 0.838562639859561
0.9364436496159332 0.51509664794621
0.9546502859613492 0.8499885622517828
0.9113959013249456 0.9181514793805012
0.937255288095815 0.8783394548386777
0.9468889432731882 0.8592960155909332
0.9087960986866286 0.9073136860402451
0.9546109354374905 0.5696956961841134
0.9279971727588924 0.8772440904511671
0.9600906751258568 0.8087008570772323
0.9166351519330243 0.4865715886180599
0.9165612994841229 0.4870483057450409
0.9619541135783197 0.7926719279771741
0.952910220605244 0.8175592115722217
0.9543501962775923 0.5764261091088584
0.9353828306792692 0.8477869321650858
0.9116050211328441 0.8869893484280441
0.966087817502616 0.7498653879085797
0.9330623457391022 0.8442500966464883
0.9420999000932228 0.8249281443889029
0.9671684119671522 0.7298543281786547
0.9075950080970483 0.8827797363491469
0.9432977898328418 0.8162808850322806
0.9669433437411786 0.7015364063046681
0.9096290881358475 0.8764181673653031
0.9164488766665121 0.8637191965167869
0.9654816426542867 0.6874588434804849
0.9419167718260982 0.8055879511501549
0.9604739722183108 0.6377465749814278
0.9582132376143281 0.7456094314202798
0.9586881599146108 0.7262164329084265
0.9519444166042719 0.7617699148504443
0.9071104744493776 0.4860489413585608
0.9498923757667459 0.5983172246104163
0.9595055716536846 0.7003427978733325
0.9171284874439914 0.8446757607980385
0.9581085765088143 0.6556373584311317
0.9094182804051195 0.4923744791042687
0.9292911616255694 0.8173105126686199
0.9425254238474897 0.5763849213398214
0.9514531311463378 0.7455261880800614
0.956086636721814 0.7116968888573483
0.9570242158999662 0.6649448721474763
0.9385742269411688 0.5651222058710106
0.9329011173130692 0.5485110315185521
0.907368826232366 0.4904100786215082
0.956357042583071 0.6618324742557283
0.9183334329129499 0.5133317781364186
0.943681453301147 0.7704063871395311
0.9472152719953173 0.7561838449405854
0.9076573278739051 0.850553113113633
0.9163170408698387 0.5099351368410555
0.949326460985556 0.7446372442205259
0.9456974883969437 0.5955243653679323
0.9511151247425199 0.6232436057752088
0.9359860902478685 0.5609147215900511
0.9413466861819821 0.7679754522614726
0.9310771952873445 0.5496829820398079
