
0it [00:00, ?it/s]
576it [00:14, 57.32it/s, bound:0 nc: 14 ncall:1.6e+03 eff:36.7% logz=9.24+/-0.13 dlogz:35.930>0.1]
583it [00:14, 52.82it/s, bound:0 nc:  5 ncall:1.6e+03 eff:36.3% logz=9.53+/-0.13 dlogz:35.627>0.1]
593it [00:15, 58.89it/s, bound:0 nc:  8 ncall:1.6e+03 eff:36.1% logz=9.94+/-0.13 dlogz:35.193>0.1]
600it [00:15, 50.95it/s, bound:0 nc:  4 ncall:1.7e+03 eff:35.6% logz=10.22+/-0.13 dlogz:34.892>0.1]
609it [00:15, 52.65it/s, bound:0 nc: 10 ncall:1.7e+03 eff:35.6% logz=10.61+/-0.13 dlogz:34.480>0.1]
618it [00:15, 58.28it/s, bound:0 nc:  4 ncall:1.7e+03 eff:35.5% logz=10.98+/-0.13 dlogz:34.087>0.1]
625it [00:15, 52.62it/s, bound:0 nc:  3 ncall:1.8e+03 eff:35.2% logz=11.25+/-0.13 dlogz:33.795>0.1]
631it [00:15, 46.89it/s, bound:0 nc:  4 ncall:1.8e+03 eff:35.0% logz=11.47+/-0.13 dlogz:33.561>0.1]
638it [00:16, 48.52it/s, bound:0 nc:  7 ncall:1.8e+03 eff:34.9% logz=11.69+/-0.13 dlogz:33.318>0.1]
644it [00:16, 48.22it/s, bound:0 nc:  3 ncall:1.9e+03 eff:34.7% logz=11.87+/-0.13 dlogz:33.122>0.1]
651it [00:16, 50.76it/s, bound:0 nc:  4 ncall:1.9e+03 eff:34.7% logz=12.13+/-0.13 dlogz:32.855>0.1]
657it [00:16, 44.59it/s, bound:0 nc:  7 ncall:1.9e+03 eff:34.2% logz=12.39+/-0.13 dlogz:32.585>0.1]
665it [00:16, 48.45it/s, bound:0 nc: 11 ncall:2.0e+03 eff:33.9% logz=12.73+/-0.13 dlogz:32.220>0.1]
670it [00:16, 46.18it/s, bound:0 nc:  3 ncall:2.0e+03 eff:33.8% logz=12.93+/-0.13 dlogz:32.010>0.1]
675it [00:16, 44.45it/s, bound:0 nc:  7 ncall:2.0e+03 eff:33.6% logz=13.15+/-0.13 dlogz:31.781>0.1]
680it [00:17, 39.83it/s, bound:0 nc:  2 ncall:2.0e+03 eff:33.4% logz=13.39+/-0.13 dlogz:31.541>0.1]
686it [00:17, 42.63it/s, bound:0 nc: 13 ncall:2.1e+03 eff:33.3% logz=13.71+/-0.13 dlogz:31.198>0.1]
691it [00:17, 42.17it/s, bound:0 nc:  6 ncall:2.1e+03 eff:33.1% logz=13.96+/-0.13 dlogz:30.932>0.1]
696it [00:17, 42.42it/s, bound:0 nc:  6 ncall:2.1e+03 eff:33.0% logz=14.20+/-0.13 dlogz:30.682>0.1]
702it [00:17, 45.17it/s, bound:0 nc: 13 ncall:2.1e+03 eff:32.9% logz=14.46+/-0.13 dlogz:30.397>0.1]
707it [00:17, 39.58it/s, bound:0 nc: 14 ncall:2.2e+03 eff:32.6% logz=14.68+/-0.13 dlogz:30.164>0.1]
712it [00:17, 36.66it/s, bound:0 nc:  4 ncall:2.2e+03 eff:32.5% logz=14.89+/-0.13 dlogz:29.943>0.1]
722it [00:17, 51.10it/s, bound:0 nc: 11 ncall:2.2e+03 eff:32.4% logz=15.32+/-0.13 dlogz:29.485>0.1]
728it [00:18, 52.14it/s, bound:0 nc:  1 ncall:2.3e+03 eff:32.3% logz=15.58+/-0.13 dlogz:29.213>0.1]
734it [00:18, 37.04it/s, bound:0 nc:  2 ncall:2.3e+03 eff:31.8% logz=15.85+/-0.13 dlogz:28.929>0.1]
740it [00:18, 40.08it/s, bound:0 nc:  6 ncall:2.3e+03 eff:31.7% logz=16.08+/-0.13 dlogz:28.678>0.1]
745it [00:18, 34.79it/s, bound:0 nc:  2 ncall:2.4e+03 eff:31.4% logz=16.27+/-0.13 dlogz:28.480>0.1]
750it [00:18, 36.38it/s, bound:0 nc:  1 ncall:2.4e+03 eff:31.3% logz=16.46+/-0.13 dlogz:28.279>0.1]
755it [00:18, 33.33it/s, bound:0 nc:  5 ncall:2.4e+03 eff:31.1% logz=16.67+/-0.13 dlogz:28.060>0.1]
759it [00:19, 33.11it/s, bound:0 nc:  2 ncall:2.5e+03 eff:30.9% logz=16.85+/-0.14 dlogz:27.876>0.1]
763it [00:19, 31.42it/s, bound:0 nc:  6 ncall:2.5e+03 eff:30.8% logz=17.04+/-0.14 dlogz:27.674>0.1]
767it [00:19, 32.52it/s, bound:0 nc:  4 ncall:2.5e+03 eff:30.6% logz=17.23+/-0.14 dlogz:27.472>0.1]
772it [00:19, 32.75it/s, bound:0 nc: 29 ncall:2.6e+03 eff:30.3% logz=17.46+/-0.14 dlogz:27.230>0.1]
780it [00:19, 43.27it/s, bound:0 nc: 17 ncall:2.6e+03 eff:30.2% logz=17.81+/-0.14 dlogz:26.861>0.1]
785it [00:19, 42.26it/s, bound:0 nc:  2 ncall:2.6e+03 eff:30.1% logz=18.01+/-0.14 dlogz:26.638>0.1]
790it [00:19, 34.66it/s, bound:0 nc: 12 ncall:2.6e+03 eff:29.9% logz=18.22+/-0.14 dlogz:26.423>0.1]
794it [00:20, 31.20it/s, bound:0 nc:  6 ncall:2.7e+03 eff:29.7% logz=18.38+/-0.14 dlogz:26.247>0.1]
798it [00:20, 23.85it/s, bound:0 nc:  8 ncall:2.7e+03 eff:29.2% logz=18.55+/-0.14 dlogz:26.071>0.1]
801it [00:20, 24.01it/s, bound:0 nc:  1 ncall:2.8e+03 eff:29.0% logz=18.69+/-0.14 dlogz:25.930>0.1]
805it [00:20, 24.03it/s, bound:0 nc: 12 ncall:2.8e+03 eff:28.9% logz=18.88+/-0.14 dlogz:25.727>0.1]
812it [00:20, 29.98it/s, bound:0 nc: 12 ncall:2.8e+03 eff:28.8% logz=19.23+/-0.14 dlogz:25.356>0.1]
818it [00:20, 34.95it/s, bound:0 nc:  7 ncall:2.8e+03 eff:28.8% logz=19.50+/-0.14 dlogz:25.148>0.1]
822it [00:21, 27.93it/s, bound:0 nc: 27 ncall:2.9e+03 eff:28.4% logz=19.66+/-0.14 dlogz:24.975>0.1]
828it [00:21, 33.48it/s, bound:0 nc: 13 ncall:2.9e+03 eff:28.4% logz=19.88+/-0.14 dlogz:24.736>0.1]
832it [00:21, 26.00it/s, bound:0 nc: 32 ncall:3.0e+03 eff:27.9% logz=20.01+/-0.14 dlogz:24.593>0.1]
836it [00:21, 27.53it/s, bound:0 nc:  5 ncall:3.0e+03 eff:27.9% logz=20.14+/-0.14 dlogz:24.454>0.1]
840it [00:21, 24.64it/s, bound:0 nc: 26 ncall:3.0e+03 eff:27.6% logz=20.26+/-0.14 dlogz:24.321>0.1]
843it [00:21, 24.34it/s, bound:0 nc: 19 ncall:3.1e+03 eff:27.5% logz=20.35+/-0.14 dlogz:24.219>0.1]
846it [00:22, 24.52it/s, bound:0 nc:  7 ncall:3.1e+03 eff:27.4% logz=20.45+/-0.14 dlogz:24.118>0.1]
850it [00:22, 27.07it/s, bound:0 nc: 13 ncall:3.1e+03 eff:27.3% logz=20.56+/-0.14 dlogz:23.988>0.1]
854it [00:22, 26.18it/s, bound:0 nc: 16 ncall:3.1e+03 eff:27.1% logz=20.68+/-0.14 dlogz:23.860>0.1]
857it [00:22, 24.45it/s, bound:0 nc: 17 ncall:3.2e+03 eff:27.0% logz=20.77+/-0.14 dlogz:23.764>0.1]
860it [00:22, 21.50it/s, bound:0 nc: 30 ncall:3.2e+03 eff:26.7% logz=20.86+/-0.14 dlogz:23.670>0.1]
863it [00:22, 21.55it/s, bound:0 nc:  5 ncall:3.3e+03 eff:26.5% logz=20.94+/-0.14 dlogz:23.579>0.1]
867it [00:22, 24.44it/s, bound:0 nc: 16 ncall:3.3e+03 eff:26.3% logz=21.05+/-0.14 dlogz:23.456>0.1]
876it [00:23, 33.44it/s, bound:0 nc: 21 ncall:3.3e+03 eff:26.3% logz=21.30+/-0.14 dlogz:23.187>0.1]
880it [00:23, 30.67it/s, bound:0 nc: 12 ncall:3.4e+03 eff:26.1% logz=21.41+/-0.13 dlogz:23.069>0.1]
884it [00:23, 20.25it/s, bound:0 nc: 21 ncall:3.4e+03 eff:25.7% logz=21.51+/-0.13 dlogz:22.955>0.1]
887it [00:23, 21.17it/s, bound:0 nc: 12 ncall:3.5e+03 eff:25.7% logz=21.58+/-0.13 dlogz:22.874>0.1]
890it [00:23, 20.90it/s, bound:0 nc: 14 ncall:3.5e+03 eff:25.5% logz=21.66+/-0.13 dlogz:22.789>0.1]
893it [00:24, 16.31it/s, bound:0 nc: 22 ncall:3.6e+03 eff:25.1% logz=21.74+/-0.13 dlogz:22.705>0.1]
897it [00:24, 20.12it/s, bound:0 nc:  5 ncall:3.6e+03 eff:25.0% logz=21.84+/-0.13 dlogz:22.596>0.1]
904it [00:24, 27.58it/s, bound:0 nc: 20 ncall:3.6e+03 eff:24.9% logz=22.01+/-0.13 dlogz:22.407>0.1]
908it [00:24, 26.84it/s, bound:0 nc:  3 ncall:3.7e+03 eff:24.7% logz=22.11+/-0.13 dlogz:22.295>0.1]
912it [00:24, 20.61it/s, bound:0 nc:  1 ncall:3.7e+03 eff:24.4% logz=22.22+/-0.13 dlogz:22.177>0.1]
915it [00:25, 19.33it/s, bound:0 nc:  4 ncall:3.8e+03 eff:24.3% logz=22.30+/-0.13 dlogz:22.091>0.1]
918it [00:25, 17.61it/s, bound:0 nc:  3 ncall:3.8e+03 eff:24.0% logz=22.37+/-0.13 dlogz:22.008>0.1]
922it [00:25, 19.56it/s, bound:0 nc: 16 ncall:3.9e+03 eff:23.9% logz=22.48+/-0.13 dlogz:21.895>0.1]
927it [00:25, 22.64it/s, bound:0 nc: 11 ncall:3.9e+03 eff:23.9% logz=22.62+/-0.13 dlogz:21.744>0.1]
930it [00:25, 23.18it/s, bound:0 nc: 15 ncall:3.9e+03 eff:23.8% logz=22.70+/-0.13 dlogz:21.650>0.1]
934it [00:25, 25.46it/s, bound:0 nc:  7 ncall:3.9e+03 eff:23.7% logz=22.83+/-0.14 dlogz:21.519>0.1]
937it [00:26, 22.05it/s, bound:0 nc: 12 ncall:4.0e+03 eff:23.6% logz=22.92+/-0.14 dlogz:21.420>0.1]
943it [00:26, 24.48it/s, bound:0 nc: 42 ncall:4.0e+03 eff:23.4% logz=23.09+/-0.14 dlogz:21.230>0.1]
947it [00:26, 22.85it/s, bound:0 nc: 19 ncall:4.1e+03 eff:23.2% logz=23.20+/-0.14 dlogz:21.105>0.1]
951it [00:26, 25.30it/s, bound:0 nc: 10 ncall:4.1e+03 eff:23.2% logz=23.32+/-0.14 dlogz:20.978>0.1]
954it [00:26, 25.08it/s, bound:0 nc: 16 ncall:4.1e+03 eff:23.1% logz=23.42+/-0.14 dlogz:20.876>0.1]
957it [00:26, 21.52it/s, bound:0 nc: 16 ncall:4.2e+03 eff:23.0% logz=23.51+/-0.14 dlogz:20.775>0.1]
961it [00:27, 22.62it/s, bound:0 nc: 10 ncall:4.2e+03 eff:22.9% logz=23.64+/-0.14 dlogz:20.642>0.1]
964it [00:27, 23.24it/s, bound:0 nc: 26 ncall:4.2e+03 eff:22.8% logz=23.73+/-0.14 dlogz:20.540>0.1]
967it [00:27, 14.57it/s, bound:0 nc: 34 ncall:4.3e+03 eff:22.4% logz=23.83+/-0.14 dlogz:20.434>0.1]
969it [00:27, 13.52it/s, bound:0 nc: 23 ncall:4.3e+03 eff:22.3% logz=23.89+/-0.14 dlogz:20.366>0.1]
973it [00:28, 16.50it/s, bound:0 nc: 14 ncall:4.4e+03 eff:22.2% logz=24.02+/-0.14 dlogz:20.226>0.1]
975it [00:28, 15.72it/s, bound:0 nc:  8 ncall:4.4e+03 eff:22.1% logz=24.08+/-0.14 dlogz:20.159>0.1]
977it [00:28, 15.63it/s, bound:0 nc:  1 ncall:4.4e+03 eff:22.0% logz=24.15+/-0.14 dlogz:20.091>0.1]
