mu1 sigma1 mu2 sigma2 alpha
1.330626240882649 0.4671240130078684 2.8708173683647895 1.9961385743466487 0.9735507967409714
1.3139417784779515 0.31182773766702987 2.8256414547044955 1.8688357007361742 0.9162977205551655
1.434361560637475 0.2483383026477359 1.4469318623698089 1.9449338112522692 0.8747869757411176
1.4676808218329582 0.17679032259989738 2.85589290946538 1.91539684572996 0.7692576595151125
1.5120963977209871 0.20658927208490926 2.2462095182529254 1.8739903159757882 0.9854823777749684
1.4736375075398764 0.17478178122447918 1.87641777366566 1.9174292347893178 0.9367639920395742
1.4365679149171815 0.20698946646928096 1.6393240610614987 1.9118894000837254 0.8887053464550765
1.3975387165269413 0.09254539212208023 2.6375953521331605 1.8893744616976873 0.7521482755997024
1.4555162483158357 0.15884481838632983 1.9707858897596178 1.943265094010245 0.9112970118959219
1.424416079401225 0.1555637418658843 2.1207017324023205 1.9622153855510687 0.8287627071086799
1.4022128087938646 0.23517304431546562 2.2764845451146702 1.8559239661233007 0.9578914206695535
1.3764231029367986 0.2115123544979117 2.7882403249546086 1.7435509717122302 0.9107887529526656
1.3766462773167287 0.2106661321788658 2.8354358834689335 1.8933755188261867 0.8173792879351796
1.32171775538116 0.33321564214710375 2.873474073144976 1.9422972577612687 0.9419825507624078
1.305913348067354 0.30162205349171045 2.6949284676580496 1.9969591897102235 0.9543047155241159
1.3334372472313443 0.1067635781862047 1.927068571232034 1.988972322459575 0.8367821254807886
1.360494915748845 0.18906609076557682 2.862541653934615 1.690151115079887 0.9493686653911573
1.4191502028193497 0.24140624782394837 2.173558165412802 1.9431916607369228 0.9338690763015142
1.3540759929906492 0.2616039907355138 2.88873154667599 1.9939240257009658 0.8415243447723849
1.4901143331240299 0.19793920193682774 1.6061625523632994 1.9221517557491379 0.9590131623134353
1.4536592261123507 0.2695243560946818 2.784345952728938 1.9569776764440263 0.8698172197817824
1.466095620399323 0.14084600447186518 2.8365068941656366 1.9169009073007062 0.8643886679004034
1.3799621005787475 0.26201585563326235 2.6135443080564165 1.9429618870141858 0.9138057852453195
1.434040811626347 0.23176357225641783 1.9231269670011688 1.9768614147188952 0.919061175709504
1.4719826292710085 0.3199246871614756 2.828452365631779 1.8471247349632751 0.9910689131080105
1.3672202544581542 0.08244298541660114 2.0751786584498513 1.9646008310978975 0.8541216129823743
1.3990538683288762 0.30653771401548735 2.494201339808956 1.9870855617933325 0.9629258032033378
1.3328665134964097 0.11413420782820981 2.6568539278883567 1.8828264701703599 0.8229719651041935
1.393343537267295 0.19585590657891708 2.4736842977423303 1.8126154541490989 0.9887682262000065
1.450845887797159 0.19427225221443145 2.6648918972665268 1.7511336712593162 0.9369625631334827
1.559384083497494 0.25251713655729324 2.768008207921953 1.9245825190524248 0.9979793146716046
1.3716534166637717 0.18507878943445977 1.9739971874079956 1.9699747503556808 0.9558669815088525
1.3978819242467995 0.1318395328954384 2.7763833965564126 1.729495341833004 0.8376314735109885
1.358467276412081 0.105739441789786 2.2554381737866094 1.8833476719672189 0.8672403070988093
1.4196892621671302 0.14908028987851712 2.787732823587475 1.6968383155788953 0.9106413915290004
1.3526772389303319 0.09832827432988099 1.4001300556261111 1.8694119826466469 0.8883601705526053
