s_mu s_sigma
1.4009338279717882 0.2956484527845661
1.3776573925429958 0.2817550896234302
1.3506075602976133 0.25931985957054265
1.4422471473122482 0.29503516297843485
1.410882353642261 0.14781263495337968
1.3464625536317705 0.19830216180773358
1.364581838977834 0.26386779540135297
1.5345551771683539 0.23712940694500273
1.461851640499761 0.28599523035684465
1.4330693163258907 0.28616281882597117
1.455472586071481 0.2845397309158238
1.3647462918972364 0.25326775923230194
1.3642049729303087 0.18448554756850494
1.4989178309635287 0.2658193423104904
1.5128321525105628 0.25212629900527495
1.5259460193115177 0.22305759708839787
1.525766723581654 0.22344845691709514
1.3981690170316237 0.2688470218229361
1.5088637856886222 0.25431274180957697
1.3583115638195464 0.22657489842463233
1.5242404167212467 0.22435361482733698
1.5016234186806132 0.17505194446079078
1.5071416251813676 0.253784438849379
1.4330209497225999 0.27355281704217943
1.500198432138981 0.2571897103899591
1.3635080155525277 0.2334470618950194
1.4020418832558894 0.1597593211829651
1.5209912590530799 0.22489153414039834
1.451221239970777 0.2722351213083427
1.436810053326092 0.2721297659292575
1.3718033450271614 0.18304762292571444
1.3641733939832827 0.19661339171104486
1.3686673134091147 0.23916551468532585
1.4539027615346263 0.2711625485019602
1.5198933749392225 0.22025409796606804
1.5171113050221339 0.23078914027758912
1.4196304934495243 0.15558628930102492
1.518634518104244 0.22373675899854018
1.3636376048094356 0.22257937927655339
1.380350096672102 0.24850773082450656
1.4211403184612645 0.2673404745937181
1.4514301493140427 0.2689573245477853
1.5180036710886329 0.21983875937799666
1.3712827025107681 0.23785867598858632
1.454556611223989 0.2684682600059826
1.4376542346445593 0.26888377121572243
1.4127943272233445 0.1580210883716092
1.4312475634888826 0.15491380389493672
1.4488973455785488 0.2669190966795828
1.425071388849801 0.15631488228338533
1.3657958880963303 0.21454105893812306
1.514838855864799 0.20885455048681537
1.3661258736983466 0.21308174116575848
1.4246915395970428 0.2647876749483375
1.5064005790959023 0.23979083326950032
1.3710714088228206 0.19253895449732375
1.3676405787268493 0.22137748581364694
1.3924343109547634 0.252732129311797
1.4508386620451592 0.26480844498522205
1.4488293427143621 0.2647318255573412
1.4780273611535149 0.25846595393025984
1.3754255899634016 0.18689192634007273
1.4256882967302438 0.2633925798457505
1.4792998183404262 0.25765113191239564
1.5044627469110943 0.23967304382710858
1.3931351160435117 0.16950880402450902
1.4898941357117628 0.25200143138878683
1.3683734115146793 0.2159666147784012
