mu1 sigma1 mu2 sigma2 alpha
1.3824576971624891 0.07655455890955755 1.6012424594221843 0.6169883377995259 0.8686161669066467
1.323645605619641 0.09799224901689259 1.6912498384717947 0.651639626514306 0.7175644540737091
1.3492622943099395 0.14818913638133044 1.9268946326270555 0.07792805762093478 0.7447686900697634
1.3293774015270463 0.10145492059247674 1.9159742958681882 0.5896332312454095 0.8462412515007673
1.2999070114157905 0.11139476611091496 1.6962572563391705 0.3830029187433358 0.8410597625139089
1.2937032409834166 0.07512153271141955 1.410092149198964 0.37893977717084854 0.6283030538258909
1.3351001783186711 0.09802628698707043 1.8310877438778141 0.16166567722711744 0.5265750012636391
1.4112743901263536 0.1170358974419125 1.782511189584692 0.3795863811027993 0.9052622606933022
1.381850393785079 0.14837236155645958 1.6875277754523168 0.41307349819067807 0.8304679815221002
1.3739409853147473 0.1222827406486924 1.9474607996651878 0.4091217923205688 0.7417722547757201
1.3210228210500599 0.04600834275601927 1.6272646717237338 0.4393513136705479 0.45139247326543025
1.3799365211046604 0.07447950316035369 1.5274569353036511 0.4333504894842662 0.8134080455061301
1.3538156267571606 0.11585975844808738 1.6544164934729642 0.2747281034086351 0.4710534284799393
1.3313726260647418 0.11776252986860412 1.6878915386843536 0.14352691596321654 0.8898135873128599
1.285757512047049 0.08392983115476525 1.8487544592414809 0.23876205624672056 0.7007064469745853
1.3900586960539145 0.0870330785464789 1.8279963018805514 0.38524607529573063 0.6849927867805692
1.2774699072992253 0.09958796071536044 1.672562122240825 0.20398484446828288 0.7490962576849651
1.368073518904827 0.14314527865580096 1.6058208480883147 0.3180520371670044 0.752617449414481
1.3525026962599425 0.15178777615330027 1.9344995028025092 0.1314029382905394 0.8430287939745748
1.367831221746503 0.09508912360286932 1.679212744996362 0.44895024558174224 0.8982233595084422
1.3951868716844564 0.13831902426698525 1.7875211230350017 0.2600950565132127 0.9164743073467342
1.3404592341786739 0.053185161418456535 1.6422180259700556 0.55633882095345 0.6777793618811825
1.3294014285173117 0.10219249351555357 1.9240213921789844 0.34201417272568196 0.6568631153044288
1.317355340084712 0.10996174172111528 1.846285896742994 0.3675795629765134 0.8408504169070136
1.336398302395313 0.07325665269266729 1.6546915338825658 0.6038515542343628 0.695736181940074
1.39997740706292 0.09193569507232892 1.8190396942949598 0.33803305963794156 0.793644090382304
1.3472141815150078 0.0987889170498668 1.7164833667203132 0.510257048475917 0.8579653842590945
1.3575117060630593 0.09496620916311306 1.6452087207834687 0.12798058428329193 0.8513350778149984
1.417163152627804 0.13101523729298103 1.8425267125220404 0.1352832645596678 0.8335909660685595
1.298733270312633 0.11760812790343306 1.6081934175879442 0.2754107508297407 0.7183281233590689
1.3545058851282872 0.05990011122049673 1.6701833579636256 0.5483179746553126 0.7304422174100408
1.3047764123494792 0.07358998016080359 1.477296151077634 0.41553051559992094 0.6433706168377712
1.3198405396359982 0.06192978378489924 1.9627691406667038 0.3925336683558746 0.8111117906280286
1.2898364646993308 0.08077554417183604 1.5083596694854797 0.19397066372854457 0.39614811486837453
1.3025750607021074 0.10189484958699828 1.6239218471860484 0.361677328944702 0.603818158236966
1.379695636668719 0.11107147675268582 1.979116740893568 0.06691884323609149 0.8976019630569944
1.4167581369431685 0.1399367387227984 1.88137335476005 0.10193082811337133 0.8796546226258092
1.3567861446044451 0.09112797820745552 1.6615299005006996 0.3012305455623207 0.4385587177323232
1.3437524293007443 0.048658669243748925 1.609754456327829 0.2664574614535014 0.8568007746316475
1.3839630003426193 0.1258003187840938 1.709845108787269 0.17307001855453719 0.8986879240314991
1.361490476999998 0.06028221392286871 1.9386300661319817 0.2852356624974013 0.8092832792329631
1.3761903293044109 0.08007064210972885 1.9833011751712877 0.27467074046859763 0.7466445003914934
1.3742955123099057 0.11363691653880026 1.9289713937407094 0.4126379955839476 0.838157025420917
1.3749181920526163 0.07308962732365744 1.6248580633495795 0.42628291296880383 0.5877722252472053
