mu1 sigma1 mu2 sigma2 alpha
1.2617143911419286 0.1767383182322414 1.6293646684519527 0.28484628448605515 0.6962298378449154
1.303768413499351 0.06245237471490431 1.9216203215044505 0.24732881486384908 0.90846116183415
1.43060635125061 0.12077978786790594 2.7450327319729655 1.3106958995038582 0.8296948137754223
1.0695840444155835 1.3426552848071356 1.3517280788084336 0.1479362870639126 0.0664540262912949
1.385135542306655 0.15705074831962917 2.274987366778484 1.9036855345178616 0.9328324391706309
1.3692872224279957 0.09731641707893189 1.6488668591055493 0.6429473719387593 0.4679720874410396
1.325145805054646 0.1306733169528361 1.4193662497306145 0.2531766782263743 0.27447375904122717
1.3763663399035369 0.14609279322015625 1.7241645086837574 1.4309667664072254 0.8069800530644989
1.342971362011823 0.1094048975052856 2.1268464873240243 0.13175880659279254 0.9175600880197157
1.4023221355334563 0.1307642594079272 2.629416556617446 1.1628164961620313 0.8755233495883402
1.354272839993009 0.1107668554190792 1.8730840049363118 1.2040853664465547 0.934451564430409
1.2001291681074657 0.6942958920906334 1.3192616277666904 0.08470862960055554 0.5053407768711098
1.3393318397182556 0.1152491804261979 2.450372377735214 0.8185540479015417 0.8716532396743156
1.301693523096196 0.09449635526353173 1.7234468298369987 0.4672285732020369 0.5320720740692968
1.1562500893419472 0.5297135417927 1.3653296344629808 0.11824483345469633 0.44049119122499747
1.3212480501293338 0.04849381067654121 1.3509745681536858 0.2695697205977722 0.6574211516064272
1.3092818137042277 0.05400371298391941 1.7637678799079959 0.5201423831841974 0.584212693933692
1.3812971173310635 0.09170789316140113 1.4291552821289457 1.5402159542261733 0.6678365560342455
1.4014387876588006 0.0995121453409275 1.7606629646169905 0.984943975167755 0.7321674251326994
1.3477371479189668 0.07627885306363777 2.4393698843589156 0.835066745122626 0.7459467904377557
1.4186878799796379 0.09833808530744494 1.4545741332697208 0.5521749875433375 0.6639311914914581
1.3665249365046561 0.12246053585907078 2.176927868796207 1.3431691564274344 0.9105903795337207
0.9718877183650751 1.8888411639008695 1.3762230848857135 0.08556853994665492 0.10487950936758816
1.3378059557618966 0.09492316180168027 1.405967768750258 0.361159531601643 0.3159184886381296
1.2910871575102 0.0364424788686486 1.5169339252942198 0.2397537803012451 0.5719975442158286
