mu1 sigma1 mu2 sigma2 alpha mup
1.3111248454585804 0.14843540722426818 2.034660207318505 0.9328873864612213 0.9616656414222898 2.2247161285709725
1.302661270623311 0.14452075991182187 2.1488014631356367 1.68264607123951 0.9471136785628044 2.3294328099540245
1.2938555153619853 0.09731300473759878 1.5538055556152146 1.813089060173707 0.6234829696451291 2.6107438359514252
1.2525283369865554 0.05048822947816099 2.2479668791465426 1.182678195137425 0.8433383511127176 2.4765071423434546
1.3110975993067115 0.0602132584904057 2.4566896100527384 0.5821356001063845 0.7441510777881023 2.477521973393527
1.335643090731618 0.11365024730411885 1.6355252861332574 0.6128607394510807 0.9424026623310604 2.6766619746773994
1.3285568958727645 0.10988663748864987 2.6221428360598726 1.4354552606899575 0.6394333290052473 2.1703011648817556
1.2698780024576841 0.13743344469026064 1.4478393735067467 0.7271855261268003 0.7835919390798912 2.183771003865834
1.2354505899535666 0.090902468469936 1.308733064647889 0.24160962229612318 0.5897087775123208 2.3170065927626284
1.332803015251896 0.06670861076274073 1.547660553490363 0.39955178234060945 0.6037510537722651 2.833209987815086
1.2286995477202014 0.054553127209918915 1.5571905175526868 0.6150492933657936 0.5064763257481723 2.0766895405494217
1.2695348248440625 0.14378022991977343 2.3834343192378045 0.8867277221152948 0.8037861586508841 2.0866154031463626
1.221562646785407 0.061804315166025144 2.5604711371961884 0.9827392220138049 0.6998190309423357 1.9960352015218732
1.2792747033889238 0.11923749127829457 1.563537215574467 1.3202848709664556 0.7276559324978389 2.358482327401678
1.3144641731984523 0.1045143434818334 1.6242058203699214 0.23146128467043153 0.5509797231183298 1.9216028183202658
1.3173443590671128 0.11889541301303903 2.0185259184530757 0.17002408711203218 0.8656559933831723 2.6057511035246113
1.2893092636114893 0.051019077286605735 2.0096130546189084 1.000842699492489 0.9107188840430129 2.8639700009385467
1.2679759429418007 0.10237957282361944 2.0734174500760245 0.5124344775432298 0.8041419174112979 2.8246634389916307
1.15286939226908 1.9679295109943382 1.328809269952872 0.0837219247118432 0.0789393512652442 2.4524508050746454
1.269061428789701 0.09680010496718386 2.391711669026036 0.6088680233048639 0.7735304743534096 2.440103073377933
1.249917267213473 0.10746387928173165 2.445668666534166 0.695559100643052 0.9353762869002428 2.1293954098086973
1.2866309155749485 0.11017426398507575 1.5395509825640357 1.0547973641924444 0.7937481228837187 2.774528471402748
1.2676083271381953 1.1794695731965146 1.2833595500774175 0.06924884469690648 0.0466180254252103 2.8151062917102685
1.2662827435541726 0.042108500767584336 1.9564420695615867 1.9321811397638637 0.6207280762519765 2.2755038754201338
1.3431385555710715 0.07968680552499549 1.4236041075999064 0.9904166442542799 0.8660377645571283 1.9953260153803174
1.2158861758639492 1.4979953941222988 1.2865022336712069 0.07241876418559952 0.42211184277641806 2.410184824442402
0.966551663694087 0.8121137768995517 1.2624446760007453 0.027543175436865047 0.31116091995499445 2.0406723864805256
1.2802852769858193 0.10486665254159004 1.950154660001683 0.5168685982181274 0.704181572254476 2.3484127992895667
1.3155509770357852 0.04753790601474069 1.4709816690463344 1.066999826427616 0.8303538920913016 2.0597963779147586
1.2491846743273305 0.04047179150063537 1.8696881379454355 0.514596804439492 0.828064930096953 2.042350647417881
1.2421697243648229 0.09711392389019118 2.2356074374172916 1.6253655765051318 0.7364853115024667 2.1310352036435463
1.2782478986963701 0.08123005111790686 2.4998672448624335 1.5928626937062762 0.7062253569204213 2.5970313067826374
1.255954977521878 0.09159192496160977 2.143845916676629 0.4523994879828744 0.7920312330113619 2.345260016002368
1.3113115844861265 0.10371207848867203 2.358567654348581 0.74701958792708 0.9324016915105966 2.4238952632672692
1.2476583223659532 0.09299018847002269 2.328075389515781 1.1655707148927374 0.6988347343875855 2.174311260509941
1.3212263816647103 0.12198736275966546 1.6098769450850514 1.6068679689286884 0.7352361316734478 2.028670039337033
0.9922488457584224 0.5973829269228289 1.290313666248718 0.07608490863176402 0.46078984418294144 2.8525944132006047
1.2351259768908573 0.06585749173895677 2.4122140885724184 1.611503813223212 0.6755055038524609 2.070550023311584
1.3216688799000873 0.0968285533066598 2.0642095000923972 0.884701217600786 0.8782625880281194 2.5742341531112167
1.1747298363376446 1.7898024709877236 1.2652327547166229 0.0787088176722865 0.30964655176122247 2.529840107852981
1.2609743669426865 0.08719208221875435 1.4877682185683836 1.6096415186381878 0.8905613332586042 2.526165055353161
1.2961375100128942 0.11860987436572105 1.4215047011099995 0.24147012955886626 0.8310409977091829 2.116393079434199
1.3082962863494125 0.12134275449744704 2.0197211904379233 1.537469306344359 0.796384629425408 2.166791853799818
1.263222478963669 0.08986362468055456 2.499606118717232 1.4290101344664907 0.6132195855970709 2.146350431816317
0.9145869110480295 1.8736598511238591 1.2656115763027433 0.07995799420460327 0.4353611851865338 2.154449501481591
0.9208223624265248 1.2271738003496429 1.2848545689023234 0.05601423524533024 0.07849388338114778 2.5808757290093736
1.2788806457207054 0.05108391243078622 1.9670835061710754 1.3299366934785852 0.6754453773199456 2.4467770792119112
1.3353730423374783 0.0807417728415985 1.9195225497605701 0.3356422755311814 0.8454620740272923 2.32393792871507
1.3330052620776955 0.062336471364582244 1.4402662117832947 0.31220805129753115 0.6680602114900784 1.9907351336991337
1.3137040914606708 0.06276397857837329 2.36232355528408 1.988914828022532 0.8613917439552733 2.533606134545016
1.270189245135409 0.10338882345485761 1.8493549356111645 1.785098153739397 0.6001263713564737 1.9116629871656314
1.2917787154923752 0.053136376928864214 1.918147490461139 1.399450083161539 0.8490415866997058 2.700088834236669
1.3168129718217068 0.07300475270381764 1.7436151288500699 1.113144464785834 0.8630065125716613 2.739942019460835
1.236284942881912 0.06731448195761246 2.7234020540186497 1.9474156099934719 0.7201419045623756 2.055034741876927
0.908431096302472 1.0782683834088258 1.251341603341031 0.05831423338500367 0.3145261816474801 2.286827260020493
1.2481570517164375 1.1455997424447297 1.260536715085995 0.04106419952132183 0.5465111071421181 2.0062622310301372
1.317961267355525 0.0813643281527719 2.177869507689077 1.3854707450080894 0.606181950290267 2.0929251147188515
1.2497946245826206 0.11830086711266374 1.7565041122567775 0.3978346737409124 0.768969872391955 2.0457681468745457
1.2367897263883023 0.09278582550616833 1.6697506427267008 0.29749308921635237 0.7254568774175358 2.859278974331615
1.3246974758820622 0.07567306644505616 2.5585684435767253 1.5716929672249118 0.7168968038674091 2.213788296949395
1.29499964267991 0.06767329950296534 1.9880102084670632 1.765297729074078 0.7799364335465084 2.8745989610879668
1.2261008542116079 0.4809308673831829 1.3168281440931624 0.10125406126641912 0.1450572884303426 2.4291769290366387
1.2890537676371783 0.07928303391981671 1.7815522227280418 1.3357309811058482 0.7297616397590185 2.700290546816536
1.2957810371140641 0.07366131234408896 1.8957242661858 0.6218025316115817 0.9495690491966567 2.735690255467262
1.2385559020564654 0.05891618243051123 1.2955428225605985 0.32122191911637166 0.614469486266465 2.31780527781376
1.3222535009997367 0.06745642712133812 1.437271891731917 0.6175075875965192 0.7450655964492667 2.5765544932846076
1.3321009290152548 0.06741062488267409 1.3797920484818254 1.8897491171373753 0.6974477747649677 1.9631061590929126
1.261331364640981 0.03933646866402127 1.7366948551142434 0.7425027374315155 0.5568724384485743 2.121318683573296
1.2515311546586572 0.09495414095834845 1.42239622989702 0.775221516536851 0.6452237624229986 2.058641782023516
1.2765918630403603 0.11968693655452001 2.4265155394333187 1.9749757781860304 0.8143086579372292 2.0892265647294814
0.9881844905220087 0.8215665631554872 1.2678093600354123 0.05894727775668921 0.10990150072188952 2.460725186689965
1.2725401174198803 0.06510816492037923 1.5760450971937194 1.2812255702494393 0.7566267558653113 2.8069761978426317
1.1363100618942303 0.6972435550754418 1.2443029741823486 0.0613872587814014 0.24986117946723466 2.1067484410668946
1.2682102684595875 0.1111291723067779 2.81194940423294 0.9595129015896707 0.7182675240103427 2.0775227988871348
1.3203950484239493 0.05047242519858337 2.3772189524785254 0.6680334105006646 0.8034173449394589 1.9624668817558424
1.2418423055176402 0.05667414246984856 1.256756145635523 1.6929799666777556 0.7739810423573754 1.9506880199334808
0.9930115702801331 1.61981193342527 1.3213362872643093 0.0939925548986489 0.08138867678513487 2.11931033358732
1.2625764837334204 0.07064957833954877 2.7776371771327755 0.4861922392581267 0.8836119990501762 2.1797979777238616
1.2649786060004524 0.09837450889939472 1.784043938833646 0.27274691029227804 0.9526320330931708 2.5966010809312596
1.290126474765199 0.07649778449031702 2.295259443934391 1.6509683662314307 0.7366894384465733 2.61237623250619
1.3087814890201706 0.0638817790126507 1.7434061865229802 1.176700591258247 0.6365068976255128 2.240469797959882
1.2989193525422011 0.06852885237014522 2.1283337507691016 1.467862391222094 0.7824937268744708 2.7590293265434926
1.2971822162270499 0.05235672102165788 1.3218743893722733 1.0862436284954047 0.7674388233661903 2.6207927631467913
0.977076067285067 1.448037325656692 1.2437092218313979 0.08722198713026828 0.19479636560331043 2.046499619083065
1.2538150724158108 0.0680184339232508 1.5246595486539416 1.3652372880739059 0.6919300457069967 2.276431675964599
1.2567039460294531 0.07645870570589726 1.8118157642648347 0.6595432950265324 0.8781708900409075 2.5078629256816107
1.3287360716460361 0.08039809632272292 2.487549812838252 1.584420699656182 0.8494138259359608 2.243317835930297
1.268351910747746 0.06671313965727187 2.2464669835082565 1.971973581732801 0.9468780983878471 2.0435606014741343
