
0it [00:00, ?it/s]
512it [00:17, 55.74it/s, bound:0 nc: 21 ncall:2.4e+03 eff:21.1% logz=2.76+/-0.11 dlogz:44.193>0.1]
518it [00:17, 46.70it/s, bound:0 nc: 15 ncall:2.5e+03 eff:20.8% logz=2.91+/-0.11 dlogz:44.034>0.1]
523it [00:17, 45.71it/s, bound:0 nc:  6 ncall:2.5e+03 eff:20.6% logz=3.02+/-0.11 dlogz:43.905>0.1]
528it [00:17, 43.24it/s, bound:0 nc:  3 ncall:2.6e+03 eff:20.5% logz=3.14+/-0.11 dlogz:43.773>0.1]
533it [00:17, 41.31it/s, bound:0 nc:  4 ncall:2.6e+03 eff:20.4% logz=3.26+/-0.11 dlogz:43.644>0.1]
540it [00:17, 46.62it/s, bound:0 nc: 13 ncall:2.7e+03 eff:20.3% logz=3.41+/-0.11 dlogz:43.472>0.1]
545it [00:18, 37.24it/s, bound:0 nc:  4 ncall:2.7e+03 eff:20.0% logz=3.53+/-0.11 dlogz:43.346>0.1]
550it [00:18, 33.57it/s, bound:0 nc: 12 ncall:2.8e+03 eff:19.7% logz=3.64+/-0.11 dlogz:43.215>0.1]
555it [00:18, 35.78it/s, bound:0 nc: 15 ncall:2.8e+03 eff:19.6% logz=3.77+/-0.11 dlogz:43.080>0.1]
562it [00:18, 42.12it/s, bound:0 nc:  4 ncall:2.9e+03 eff:19.6% logz=3.94+/-0.11 dlogz:42.886>0.1]
567it [00:18, 37.55it/s, bound:0 nc:  3 ncall:2.9e+03 eff:19.4% logz=4.06+/-0.11 dlogz:42.753>0.1]
573it [00:18, 42.43it/s, bound:0 nc:  3 ncall:3.0e+03 eff:19.4% logz=4.20+/-0.11 dlogz:42.605>0.1]
579it [00:18, 45.11it/s, bound:0 nc:  9 ncall:3.0e+03 eff:19.3% logz=4.32+/-0.11 dlogz:42.462>0.1]
585it [00:19, 45.63it/s, bound:0 nc:  8 ncall:3.0e+03 eff:19.3% logz=4.45+/-0.11 dlogz:42.317>0.1]
593it [00:19, 49.62it/s, bound:0 nc: 13 ncall:3.1e+03 eff:19.2% logz=4.63+/-0.11 dlogz:42.119>0.1]
599it [00:19, 38.76it/s, bound:0 nc: 10 ncall:3.2e+03 eff:18.9% logz=4.76+/-0.11 dlogz:41.972>0.1]
604it [00:19, 37.73it/s, bound:0 nc:  7 ncall:3.2e+03 eff:18.8% logz=4.88+/-0.11 dlogz:41.848>0.1]
609it [00:19, 39.23it/s, bound:0 nc:  4 ncall:3.2e+03 eff:18.7% logz=5.02+/-0.12 dlogz:41.698>0.1]
614it [00:19, 38.52it/s, bound:0 nc: 10 ncall:3.3e+03 eff:18.6% logz=5.16+/-0.12 dlogz:41.544>0.1]
619it [00:20, 37.86it/s, bound:0 nc: 20 ncall:3.4e+03 eff:18.5% logz=5.29+/-0.12 dlogz:41.400>0.1]
625it [00:20, 40.93it/s, bound:0 nc: 13 ncall:3.4e+03 eff:18.4% logz=5.45+/-0.12 dlogz:41.228>0.1]
630it [00:20, 38.71it/s, bound:0 nc: 15 ncall:3.4e+03 eff:18.4% logz=5.57+/-0.12 dlogz:41.090>0.1]
637it [00:20, 43.58it/s, bound:0 nc: 10 ncall:3.5e+03 eff:18.3% logz=5.75+/-0.12 dlogz:40.895>0.1]
645it [00:20, 50.33it/s, bound:0 nc:  5 ncall:3.5e+03 eff:18.3% logz=5.95+/-0.12 dlogz:40.675>0.1]
652it [00:20, 52.85it/s, bound:0 nc: 13 ncall:3.6e+03 eff:18.3% logz=6.12+/-0.12 dlogz:40.485>0.1]
658it [00:20, 44.50it/s, bound:0 nc:  3 ncall:3.6e+03 eff:18.2% logz=6.26+/-0.12 dlogz:40.326>0.1]
664it [00:20, 46.62it/s, bound:0 nc:  8 ncall:3.7e+03 eff:18.1% logz=6.42+/-0.12 dlogz:40.157>0.1]
669it [00:21, 35.60it/s, bound:0 nc:  7 ncall:3.7e+03 eff:17.9% logz=6.55+/-0.12 dlogz:40.012>0.1]
675it [00:21, 38.60it/s, bound:0 nc: 16 ncall:3.8e+03 eff:17.8% logz=6.72+/-0.12 dlogz:39.836>0.1]
680it [00:21, 28.08it/s, bound:0 nc: 35 ncall:3.9e+03 eff:17.5% logz=6.85+/-0.12 dlogz:39.686>0.1]
685it [00:21, 31.03it/s, bound:0 nc: 23 ncall:3.9e+03 eff:17.5% logz=6.98+/-0.12 dlogz:39.543>0.1]
689it [00:21, 31.49it/s, bound:0 nc:  5 ncall:4.0e+03 eff:17.4% logz=7.08+/-0.12 dlogz:39.435>0.1]
693it [00:22, 28.90it/s, bound:0 nc:  1 ncall:4.0e+03 eff:17.3% logz=7.17+/-0.12 dlogz:39.331>0.1]
699it [00:22, 33.43it/s, bound:0 nc:  9 ncall:4.1e+03 eff:17.2% logz=7.32+/-0.12 dlogz:39.167>0.1]
703it [00:22, 27.79it/s, bound:0 nc: 16 ncall:4.1e+03 eff:17.0% logz=7.42+/-0.12 dlogz:39.060>0.1]
707it [00:22, 28.51it/s, bound:0 nc: 18 ncall:4.2e+03 eff:17.0% logz=7.52+/-0.12 dlogz:38.953>0.1]
711it [00:22, 30.09it/s, bound:0 nc: 19 ncall:4.2e+03 eff:16.9% logz=7.61+/-0.12 dlogz:38.845>0.1]
718it [00:22, 37.32it/s, bound:0 nc:  8 ncall:4.2e+03 eff:16.9% logz=7.78+/-0.12 dlogz:38.660>0.1]
722it [00:22, 34.75it/s, bound:0 nc: 18 ncall:4.3e+03 eff:16.8% logz=7.89+/-0.12 dlogz:38.540>0.1]
726it [00:23, 29.55it/s, bound:0 nc: 51 ncall:4.4e+03 eff:16.6% logz=8.00+/-0.12 dlogz:38.424>0.1]
730it [00:23, 29.21it/s, bound:0 nc: 28 ncall:4.4e+03 eff:16.5% logz=8.11+/-0.12 dlogz:38.307>0.1]
734it [00:23, 30.06it/s, bound:0 nc:  6 ncall:4.4e+03 eff:16.5% logz=8.22+/-0.12 dlogz:38.183>0.1]
738it [00:23, 31.42it/s, bound:0 nc: 17 ncall:4.5e+03 eff:16.5% logz=8.34+/-0.12 dlogz:38.058>0.1]
742it [00:23, 24.01it/s, bound:0 nc: 33 ncall:4.6e+03 eff:16.2% logz=8.45+/-0.12 dlogz:37.931>0.1]
745it [00:23, 23.22it/s, bound:0 nc:  1 ncall:4.6e+03 eff:16.1% logz=8.55+/-0.13 dlogz:37.834>0.1]
749it [00:23, 24.87it/s, bound:0 nc: 25 ncall:4.7e+03 eff:16.0% logz=8.69+/-0.13 dlogz:37.687>0.1]
752it [00:24, 21.67it/s, bound:0 nc: 23 ncall:4.7e+03 eff:15.9% logz=8.78+/-0.13 dlogz:37.581>0.1]
755it [00:24, 22.32it/s, bound:0 nc: 36 ncall:4.8e+03 eff:15.8% logz=8.88+/-0.13 dlogz:37.474>0.1]
759it [00:24, 21.63it/s, bound:0 nc: 29 ncall:4.8e+03 eff:15.7% logz=9.02+/-0.13 dlogz:37.329>0.1]
762it [00:24, 18.97it/s, bound:0 nc:  8 ncall:4.9e+03 eff:15.5% logz=9.12+/-0.13 dlogz:37.221>0.1]
765it [00:24, 15.99it/s, bound:0 nc:  3 ncall:5.0e+03 eff:15.3% logz=9.22+/-0.13 dlogz:37.115>0.1]
769it [00:25, 17.52it/s, bound:0 nc: 29 ncall:5.1e+03 eff:15.2% logz=9.34+/-0.13 dlogz:36.978>0.1]
774it [00:25, 21.73it/s, bound:0 nc: 18 ncall:5.1e+03 eff:15.2% logz=9.50+/-0.13 dlogz:36.807>0.1]
777it [00:25, 20.68it/s, bound:0 nc: 23 ncall:5.2e+03 eff:15.1% logz=9.60+/-0.13 dlogz:36.701>0.1]
780it [00:25, 20.03it/s, bound:0 nc:  6 ncall:5.2e+03 eff:15.0% logz=9.69+/-0.13 dlogz:36.601>0.1]
783it [00:25, 20.40it/s, bound:0 nc:  9 ncall:5.3e+03 eff:14.9% logz=9.78+/-0.13 dlogz:36.503>0.1]
788it [00:26, 20.58it/s, bound:0 nc: 50 ncall:5.3e+03 eff:14.8% logz=9.93+/-0.13 dlogz:36.339>0.1]
792it [00:26, 23.51it/s, bound:0 nc: 18 ncall:5.4e+03 eff:14.7% logz=10.06+/-0.13 dlogz:36.205>0.1]
795it [00:26, 18.50it/s, bound:0 nc:  4 ncall:5.5e+03 eff:14.6% logz=10.15+/-0.13 dlogz:36.107>0.1]
798it [00:26, 19.05it/s, bound:0 nc: 13 ncall:5.5e+03 eff:14.5% logz=10.24+/-0.13 dlogz:36.006>0.1]
803it [00:26, 22.33it/s, bound:0 nc: 32 ncall:5.6e+03 eff:14.5% logz=10.41+/-0.13 dlogz:35.826>0.1]
806it [00:27, 17.00it/s, bound:0 nc: 44 ncall:5.7e+03 eff:14.2% logz=10.52+/-0.13 dlogz:35.716>0.1]
809it [00:27, 18.75it/s, bound:0 nc: 13 ncall:5.7e+03 eff:14.2% logz=10.62+/-0.13 dlogz:35.603>0.1]
812it [00:27, 20.34it/s, bound:0 nc:  8 ncall:5.7e+03 eff:14.1% logz=10.73+/-0.13 dlogz:35.491>0.1]
815it [00:27, 20.60it/s, bound:0 nc: 32 ncall:5.8e+03 eff:14.1% logz=10.82+/-0.13 dlogz:35.382>0.1]
818it [00:27, 18.31it/s, bound:0 nc: 37 ncall:5.9e+03 eff:14.0% logz=10.92+/-0.13 dlogz:35.278>0.1]
821it [00:27, 14.97it/s, bound:0 nc: 54 ncall:5.9e+03 eff:13.8% logz=11.03+/-0.13 dlogz:35.163>0.1]
824it [00:28, 14.59it/s, bound:0 nc: 48 ncall:6.0e+03 eff:13.7% logz=11.13+/-0.13 dlogz:35.054>0.1]
