alpha mmin mmax delta_m
3.624561253896207 0.9472444433259819 2.064996803097557 0.341864873468139
6.409915060804153 0.9291829112860381 2.248440563865833 0.7629766450628163
13.48793055609407 1.069204022472965 2.727097928859439 0.8668298417378664
15.771631620851377 1.0715494075083785 2.2039263039175685 0.96264416717913
8.146780514191882 0.9293936670593961 2.636840842859154 0.808256824227501
18.061897792327407 1.0013096078603805 2.004023274089584 0.9699723848739915
14.516722449770164 1.143385901622661 2.854274432050157 0.3200677369701987
4.672121279928097 1.1502892003044805 2.515084127159065 0.08265859050856426
6.273268376653078 0.9924229436117427 2.813773273720421 0.4252091515571519
7.6412488173197115 1.1617768715705743 2.6058235988716936 0.16018910309743395
6.123275479993245 0.9661869676309932 2.306639147542881 0.5125216209178467
8.945347993212911 0.9413235829501264 2.3042347534735903 0.7637972979045273
18.04794681367972 1.09878446504784 2.1730351268948342 0.7043884163760186
6.486623410868361 1.030659842148292 2.8749199918905215 0.5016490131448513
15.672738175752617 1.0750081226972399 2.2498143619728337 0.45217366217762855
8.650148836949132 1.1553466971039255 1.9118867532140142 0.08436051516952899
7.288976231745728 1.0023700967778673 2.392889198233064 0.6308488959668477
8.709675443533966 0.9303810607653159 2.076826637956354 0.8992127869405485
16.234457430814754 1.0760649022463618 2.315686501526348 0.487996157122357
7.9043138141062474 1.0225957866212603 2.5974053494409026 0.6271839433115178
16.565406993257305 1.1160984307624648 2.243417653425695 0.3753147125620501
3.7224951586448185 1.0488488693177818 2.0725262786410275 0.3293504501580239
4.585390657265428 1.1187576457793373 2.284989007011842 0.21615269336950757
8.9180744115614 0.957796581441273 2.540621603901531 0.7881869433346194
5.107487322828456 1.1011422373661486 2.1777088435406444 0.11876179075003541
8.571280650423116 0.9559302715598261 2.283140000059693 0.7102820734425447
14.159006775415776 0.9745768944970717 2.8688327223709935 0.9110583627540203
18.125447589721706 1.0703276038466387 2.8745970221516406 0.6474431113830997
5.166028636722746 1.0221609104135851 1.9468395876482587 0.3238921646126461
4.845006701114253 1.0808823899758881 2.337312961519673 0.29662885772357556
6.146309660641794 1.1510753309336936 2.369399814625245 0.17790891866208106
18.663325481130656 1.0516060695168408 2.1786745342025515 0.7771996058894778
9.433561540738244 0.9720161539028082 2.57152586194342 0.8495369673793697
