k theta
22.776061312777955 0.06108914973943764
41.10728299328425 0.031598673933750425
34.77926649829328 0.04359549647357623
42.09824597082222 0.03103848584181096
29.326559256181728 0.05025815967902923
31.500699889690253 0.047107228933486386
34.645238803198026 0.043211700285193055
37.4102970806886 0.035222759960882415
56.43466552954605 0.02666023507527357
53.27475845049297 0.024717639232877366
72.26508543505074 0.020596555442064707
28.802484254040817 0.049309491165884956
58.528328165247785 0.025585767889823294
68.23218979878065 0.021807010887548776
34.81077819765897 0.03859253540302748
34.29201260117257 0.04281754481604276
78.20500326479612 0.017132981479023705
54.352137240799365 0.02749572419889145
52.722877244759836 0.02512097785264343
33.31303705514442 0.04081177385578799
56.91766660882189 0.023322231633735473
69.47967486002418 0.021331097937798308
59.66149288035477 0.024959140593506627
77.7409814083665 0.01895404425558011
62.151736428641335 0.02392857258268075
33.85413685375135 0.04291677480059294
32.05717070927668 0.04466523467430146
54.44379310833783 0.027333606249288378
32.01072491866857 0.04340133717917959
56.07791076323995 0.02651570544654446
65.64807182612522 0.020341933520489824
66.87388007666698 0.022138454459450455
50.46884192500826 0.026369429992837534
71.87405686293526 0.020528688539965513
40.65656013947559 0.03630754936348408
32.19541502480028 0.04359605680845618
38.02123445466863 0.03861149334683522
61.664796890062014 0.021640209187759933
36.27267625691257 0.03739572978298307
34.07259816138993 0.04226413770168412
32.77951375901242 0.043204874609478076
33.168315676980924 0.042516235291819644
64.59866009050342 0.022877664950767027
47.60536454342852 0.03109966230451538
35.82334746382333 0.0403203208104899
44.96418538358317 0.029813678027232837
45.637263235876674 0.029361345870200554
38.80423578265177 0.03764166320247835
70.83279726695113 0.018990230368371226
62.442231168762525 0.023651552673741257
41.17892104128994 0.03277919250402004
34.54610326311469 0.04050075832710985
42.44327068928308 0.03454173032458571
79.36511060497564 0.018376284130775473
34.87635362591953 0.040134463010550195
60.67914959214004 0.02430086065343414
58.80811031790381 0.022801808689890034
41.58180751879809 0.032499244473884026
34.98706772095646 0.039940206571132696
52.498202620704014 0.025533133499446616
36.6930707909937 0.037517960762967456
58.5268342603304 0.022930602101415083
37.152375484991786 0.03875311916370387
35.427826919883046 0.03944517243194993
36.387226039625475 0.03935333607105633
43.98617488630312 0.03066283086456724
53.896544793618624 0.02489646861782081
71.52852725274559 0.018875100836430826
58.58370571710349 0.022923291487120703
42.8245766998476 0.03157300511642856
38.87593829067527 0.03725463649477884
50.7720456202521 0.02900363049515664
35.84416655307814 0.03891455773352736
37.05680963683277 0.03871335776884784
49.69661997061362 0.027046957222033957
74.22683863748088 0.018236895781052406
36.2741925514473 0.03921364003196822
40.9024165499165 0.03321530500114769
71.10582780533878 0.020586232351559236
35.96748722285562 0.039199665052349515
79.23328321994786 0.01715546914343813
36.9230337166364 0.038716697693133025
72.04795855474279 0.02029689992647317
41.636230849438704 0.032599707899883666
37.43369903418313 0.03828040624982505
41.261861346421604 0.03294007222646844
36.632056972472 0.03799872039622999
