mlo mup beta
1.182422272545575 2.2796427689221153 11.460856252737706
1.1317888471601925 2.0184765757079215 6.870099024483213
1.1181669241412713 2.0877389157811574 4.851396225653328
1.1336032395625655 2.406517562916881 5.756023480366302
1.1382588491513221 1.9734438696236203 6.596971189660728
1.1651141698019503 2.669621796676121 3.8809429343471855
1.1580706301133332 2.726720740346486 8.96319333554332
1.1391270817743577 2.5833120998981847 6.3410030191323905
1.1340733483375323 2.3492920227108747 5.117521077249187
1.1858106580347711 2.0057293159076766 3.333892051822261
1.1636341425440206 2.387662668606951 9.38821897128235
1.1474757012764594 1.9943803011734198 2.1202174747563323
1.1336987735138393 2.201618569342935 5.410954478435254
1.136600649913932 1.9470297981357225 2.9827990198663326
1.1448173702838713 2.7692688513801484 6.528545314257759
1.1656769082565603 2.057533285745276 2.079777675198387
1.1424898960280423 1.9261836432026191 5.403504960451219
1.1725994377275932 1.9229563852752074 8.918859913076355
1.183157071570534 2.0617831806658415 3.148511226006514
1.1456077514199832 2.510032742035402 6.694829377760646
1.1744352523461263 1.9493176901019034 9.221164071160434
1.1865420229219015 1.9384786681260717 6.395558033687653
1.1458033894966715 2.536827884985695 6.077955829678977
1.1869413704269314 2.397992066731194 7.9386123510827815
1.1378511383704006 2.1601170785986223 5.593674505672615
1.1441211676840335 2.354071902407901 5.055569795549825
1.1506547387757444 2.7937631777362935 5.420149652761367
1.1524955739421245 2.8284267670703493 7.247772240128256
1.1864329059157104 1.9696865684453266 7.6448915572750735
1.1521400187776858 2.853235826465588 7.068416288792896
1.1832736723021746 2.855103331969714 5.563589512551891
1.187259875476429 2.2001111079422646 7.660300854288035
1.175558701627722 2.7348826394677803 4.500893220806214
1.1523655463638347 1.9715168778141363 7.046496880639225
1.1472188943279265 2.348108111968641 4.897129624211042
1.1829905212337222 2.1989619968998397 4.244679696482985
1.1611128850959844 2.6477225245557268 8.420839608041994
1.1386812364749936 2.076233385996746 3.6729615022022415
1.1764815909398105 2.7244066518726435 4.569938059398753
1.135082101137853 1.9881001299354406 4.117007551685887
1.1858938076691976 2.7653043293772264 7.095528406306242
1.1394867631815888 2.065697315479425 5.808784496793207
1.158497633623762 2.3870759420369443 8.032176805607087
1.1495883589023812 2.518581349882677 6.0090714426570315
1.1695343978601365 2.7735519721428656 4.563251727613551
1.1674468865266863 1.9326195255032046 8.016485299001138
1.1477687795545564 2.2999080707723594 6.293532859582619
1.147367943503793 2.0668879567358474 6.827295567528182
1.1576125669182955 2.259596094095359 7.903178022397039
1.1796464872262056 2.8336397638730975 9.442132982182608
1.156248163424385 2.8482583601120304 7.344679559194903
1.154025446779547 2.344953235635387 7.2652535549873
1.1604006211185394 1.9035902924169856 3.1582532496776583
1.1821765394135584 2.207343533525512 9.09970811163059
1.185264867129854 2.4747864667050665 7.504789060981251
1.1451528422613495 2.2098300739784786 4.974870466042468
1.1700939327357758 2.7663085206287312 4.648399414900753
1.1645454709967846 2.6752933246832655 8.576190425405187
1.1760565811908728 2.57010980044084 9.543729617825779
1.1793512682513354 2.8018830505217345 9.327354032654576
1.1857542635841196 2.0303429042745993 4.708598768573129
1.1442069031232514 1.9589358610725032 3.9692223207347137
1.1464852936754881 1.971582595435616 5.713193743390606
1.1836411915832106 2.0244375884052492 8.532121098626755
1.1714183282169568 2.2366690069625617 3.577511958925456
1.1747873312304147 2.4034199238337717 9.484855374348705
1.153558614261972 2.3842960971722085 4.9711192982935355
1.1591394475133823 2.7264765161557536 5.209745844397663
1.1673267337515612 2.2275326629691903 8.9528901103365
1.1830020941136603 2.400482280745516 8.642743339845552
1.161903135067845 2.3865312711119087 8.17537791121264
1.1600765738240062 2.890415049759677 7.740118474233913
1.1536421058945954 2.5102600549050464 5.539049159444094
1.169671551735855 2.817576454500431 4.78414125813131
1.1615603895025575 2.237547496726163 3.8672567008412955
1.16283714204883 2.4928765610449783 4.612423619048625
1.180747903840048 2.700441680609507 5.340110131321939
1.1596056920456692 2.3460862411179932 7.829276148373928
1.1554644421282831 2.4249211727288587 7.074808489809069
1.16649499480517 2.1519697403026488 8.826254765014564
1.1499472104835027 2.246605989595446 4.8553641721465866
1.1609888890166877 2.543352208473681 7.883616151043295
1.176123303441786 2.346518245013532 9.39848944215863
1.1783271960010613 2.131981908542389 9.377393170976763
1.1648246812585399 2.2714747467897958 8.507169613931131
1.143618534767192 2.02614472439929 3.6884017026366145
1.159368913337043 2.51691240283819 7.5494904542192955
1.1854603867142615 1.9930817396961236 6.990102407903466
1.1532532452967441 2.156546809065696 3.9788188250469503
1.1561255265421506 2.15651971713669 7.37378587158587
1.1588748762294976 2.779387206029374 5.590835960605851
1.1840192971168417 2.6457116949459323 7.269916929047518
