mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
1.3921759044851254 0.0946472755195103 1.7722180683405164 0.9064623233493893 0.8243987647089419 2.690547438234307 0.34283745849901204 0.10338846178068341
1.1455398334371858 1.424609889820231 1.3076317851521877 0.14827610508037892 0.1507636934246817 1.594696886242779 1.142820053495933 0.8030812926184462
1.016637151098346 0.6136207548264124 1.332265048188356 0.018438885413796006 0.4657020161689152 1.4681815200932937 1.2895829437101265 0.4774475433719177
1.1696968228558646 0.5895524132392381 1.2736039540787218 0.09671363047380849 0.058074672346458786 1.4375138457222802 1.0608398011374456 0.6746532085833089
1.3530945725591565 0.09620414739595896 1.5189176245753808 1.2747201240673958 0.6567305233783173 2.569702398478321 0.2050981431496696 0.2667795777920687
1.3385911144664169 0.10368878667343813 1.617356388677365 1.446791755061247 0.5364317741841663 1.7719605800748708 0.3595592515767416 0.2198495679459824
1.3684953612720123 0.12496293693901842 1.5576456135972379 0.6346716624285693 0.7019594431033559 1.713739458845871 1.278086873076868 0.11692794319974809
0.9330075500862416 1.4703136058215975 1.333275917111914 0.03943959181650459 0.2869372219887618 1.8450040288094527 1.4407471527166291 0.6087076389759304
1.1728586683770885 1.8205281158865672 1.3294630676042885 0.08130211659785161 0.03125332587553511 2.032781775267265 0.9201334957547829 0.578662658495001
1.335646016770574 0.1155331122433471 2.4819169800756224 1.1501922903745128 0.8144980096057012 2.670270334303289 0.6157508078519858 0.07300057449474588
1.3129466932342888 0.4082136980989001 1.3263346949651482 0.09370073100431485 0.5123798440617411 2.5878143850816397 0.1889189955168559 0.44662545311192675
1.2884189418902663 0.07886868287819061 2.1879307523614466 0.7720650310613001 0.8577727868151369 2.2573765294953536 0.3723230976723681 0.09632381444895492
1.0638202294905441 0.4369465168043765 1.305688995165864 0.03633290090147893 0.44580404830171316 2.411928026102638 0.9656842329015083 0.5185136631584467
1.3011034797551642 0.10699901286295743 1.8617126581849837 0.7265063172143309 0.9202409861759443 2.5225032764267725 1.5392918650319576 0.047450965028650406
1.3212227911862546 0.07709724722509764 1.906168328032428 1.5611703730952378 0.6034035292221461 2.2514509132077194 1.212178383885837 0.2331463586039826
1.0984517170580945 1.0823090512153393 1.3260636020799088 0.058121005224615746 0.23675043943893043 1.4616674458438508 0.6327489492783298 0.4450842063410681
1.0923321265877115 0.8013013212133286 1.3810393894626876 0.08038341656063354 0.07326450470013329 1.8412723793430157 0.5418766727139556 0.6839574947017776
1.2719874078603945 0.26151522483495987 1.2908292173742681 0.059611565263105 0.2713699526096839 1.3604710877678392 0.13569089195768985 0.4975639080865812
1.3164162952498366 0.07970584808695914 1.4648031460471616 0.3057034681807353 0.28562245630811517 1.5836728779335996 0.6691212868730873 0.6403349966033042
1.374508819734786 0.06489775930185106 1.462969211453685 0.17596729959256519 0.5362087347370812 2.284564396116661 0.7539765061022998 0.36528467194555725
1.1435851099150056 0.749667802903228 1.3979265202740867 0.12285780144760516 0.03336631081176719 1.5757851099661258 0.21096282288623894 0.7273215497779117
1.2949384345199781 0.08900779808303029 1.418234426032912 1.8580569259196427 0.7415376364237085 2.899011161163739 1.2001393177991513 0.23974897114921476
1.3715977072828274 0.09772068887682878 1.4765907624893009 1.7779003949841758 0.7547195605076509 2.291185809910111 1.5674179206174204 0.09613257043515547
1.0566509344502324 0.3517988457051016 1.2985205666315465 0.04737516926296439 0.28670825700183566 1.3243179090301176 0.6090515535860118 0.5465714140652691
1.3959036652870913 0.12047687746764654 1.6047736027417008 0.27581097840936847 0.7163215083824963 1.9561169266330398 1.3608642499252246 0.2259562580958602
1.350182033273143 0.058195317511884684 2.013561956400082 1.3325852846583228 0.7189332142566166 2.3690292331121867 0.2322922174094981 0.264672195593671
1.2746384027755095 0.30316452840963903 1.3798620190704045 0.05320675484758747 0.032678783365441895 1.3987687682620624 0.2783296203630361 0.44321737411193124
1.3030716666530064 0.10080221314180883 2.326459870454111 1.0657366957941965 0.8686608654201385 2.73851672349577 1.1913456588580829 0.08819135195977021
1.3399597726375814 0.09856206045635392 2.1984743372127937 0.5826470123857354 0.7054523221284374 2.4032457988385114 1.2975781286261634 0.17670498362066792
1.3626138636058678 0.11912766219820103 1.4702675083358627 1.4967372790229356 0.8340633963966105 2.230854136278056 0.5368922510059235 0.033810027176101716
1.0612459479413205 1.033495847216756 1.3692982945989878 0.06039398376963666 0.15145532254541366 1.8308378750331322 0.42862184250384633 0.7201524909759073
