
0it [00:00, ?it/s]
197it [02:40,  1.28it/s, bound:50 nc:101 ncall:1.6e+04 eff:1.2% logz=-3.41+/-0.13 dlogz:58.326>0.1]
205it [02:44,  1.42it/s, bound:53 nc:101 ncall:1.7e+04 eff:1.2% logz=-2.44+/-0.13 dlogz:57.336>0.1]
213it [02:49,  1.51it/s, bound:56 nc:101 ncall:1.8e+04 eff:1.2% logz=-0.00+/-0.15 dlogz:55.075>0.1]
221it [02:54,  1.57it/s, bound:58 nc:101 ncall:1.9e+04 eff:1.2% logz=2.11+/-0.15 dlogz:52.906>0.1] 
229it [02:59,  1.61it/s, bound:61 nc:101 ncall:1.9e+04 eff:1.2% logz=3.89+/-0.14 dlogz:51.078>0.1]
237it [03:03,  1.64it/s, bound:64 nc:101 ncall:2.0e+04 eff:1.2% logz=5.69+/-0.14 dlogz:49.202>0.1]
245it [03:08,  1.66it/s, bound:66 nc:101 ncall:2.1e+04 eff:1.2% logz=7.29+/-0.14 dlogz:47.534>0.1]
252it [03:13,  1.60it/s, bound:69 nc:101 ncall:2.2e+04 eff:1.2% logz=9.17+/-0.14 dlogz:45.666>0.1]
260it [03:18,  1.62it/s, bound:72 nc:101 ncall:2.3e+04 eff:1.1% logz=10.47+/-0.14 dlogz:44.304>0.1]
268it [03:22,  1.64it/s, bound:74 nc:101 ncall:2.3e+04 eff:1.1% logz=11.46+/-0.14 dlogz:43.268>0.1]
276it [03:27,  1.64it/s, bound:77 nc:101 ncall:2.4e+04 eff:1.1% logz=12.47+/-0.14 dlogz:42.319>0.1]
284it [03:32,  1.65it/s, bound:80 nc:101 ncall:2.5e+04 eff:1.1% logz=13.77+/-0.14 dlogz:40.938>0.1]
292it [03:37,  1.66it/s, bound:82 nc:101 ncall:2.6e+04 eff:1.1% logz=14.76+/-0.14 dlogz:39.909>0.1]
300it [03:41,  1.67it/s, bound:85 nc:101 ncall:2.7e+04 eff:1.1% logz=15.85+/-0.14 dlogz:38.836>0.1]
308it [03:46,  1.67it/s, bound:88 nc:101 ncall:2.8e+04 eff:1.1% logz=17.09+/-0.14 dlogz:37.585>0.1]
315it [03:51,  1.61it/s, bound:90 nc:101 ncall:2.8e+04 eff:1.1% logz=18.77+/-0.15 dlogz:35.974>0.1]
323it [03:56,  1.63it/s, bound:93 nc:101 ncall:2.9e+04 eff:1.1% logz=19.93+/-0.14 dlogz:34.642>0.1]
331it [04:01,  1.64it/s, bound:96 nc:101 ncall:3.0e+04 eff:1.1% logz=20.61+/-0.13 dlogz:33.922>0.1]
339it [04:05,  1.65it/s, bound:98 nc:101 ncall:3.1e+04 eff:1.1% logz=21.22+/-0.13 dlogz:33.279>0.1]
347it [04:10,  1.64it/s, bound:101 nc:101 ncall:3.2e+04 eff:1.1% logz=21.79+/-0.13 dlogz:32.696>0.1]
355it [04:15,  1.66it/s, bound:104 nc:101 ncall:3.2e+04 eff:1.1% logz=22.40+/-0.13 dlogz:32.089>0.1]
363it [04:20,  1.66it/s, bound:106 nc:101 ncall:3.3e+04 eff:1.1% logz=23.13+/-0.13 dlogz:31.323>0.1]
370it [04:25,  1.60it/s, bound:109 nc:101 ncall:3.4e+04 eff:1.1% logz=23.80+/-0.13 dlogz:30.675>0.1]
378it [04:29,  1.63it/s, bound:111 nc:101 ncall:3.5e+04 eff:1.1% logz=24.87+/-0.14 dlogz:29.580>0.1]
386it [04:34,  1.65it/s, bound:114 nc:101 ncall:3.6e+04 eff:1.1% logz=25.79+/-0.14 dlogz:28.689>0.1]
394it [04:39,  1.66it/s, bound:117 nc:101 ncall:3.6e+04 eff:1.1% logz=26.53+/-0.14 dlogz:27.903>0.1]
402it [04:44,  1.67it/s, bound:119 nc:101 ncall:3.7e+04 eff:1.1% logz=27.14+/-0.13 dlogz:27.809>0.1]
410it [04:48,  1.67it/s, bound:122 nc:101 ncall:3.8e+04 eff:1.1% logz=27.71+/-0.13 dlogz:27.222>0.1]
418it [04:53,  1.67it/s, bound:125 nc:101 ncall:3.9e+04 eff:1.1% logz=28.31+/-0.13 dlogz:26.601>0.1]
426it [04:58,  1.65it/s, bound:127 nc:101 ncall:4.0e+04 eff:1.1% logz=28.86+/-0.13 dlogz:26.020>0.1]
434it [05:03,  1.65it/s, bound:130 nc:101 ncall:4.0e+04 eff:1.1% logz=29.30+/-0.13 dlogz:25.554>0.1]
442it [05:08,  1.67it/s, bound:133 nc:101 ncall:4.1e+04 eff:1.1% logz=29.72+/-0.13 dlogz:25.109>0.1]
450it [05:12,  1.67it/s, bound:135 nc:101 ncall:4.2e+04 eff:1.1% logz=30.16+/-0.13 dlogz:24.650>0.1]
458it [05:17,  1.66it/s, bound:138 nc:101 ncall:4.3e+04 eff:1.1% logz=30.66+/-0.13 dlogz:24.143>0.1]
465it [05:22,  1.59it/s, bound:141 nc:101 ncall:4.4e+04 eff:1.1% logz=31.15+/-0.13 dlogz:23.643>0.1]
473it [05:27,  1.61it/s, bound:143 nc:101 ncall:4.5e+04 eff:1.1% logz=31.68+/-0.13 dlogz:23.083>0.1]
481it [05:32,  1.62it/s, bound:146 nc:101 ncall:4.5e+04 eff:1.1% logz=32.28+/-0.13 dlogz:22.478>0.1]
489it [05:37,  1.63it/s, bound:149 nc:101 ncall:4.6e+04 eff:1.1% logz=32.84+/-0.13 dlogz:21.886>0.1]
497it [05:41,  1.64it/s, bound:151 nc:101 ncall:4.7e+04 eff:1.1% logz=33.30+/-0.13 dlogz:21.396>0.1]
505it [05:46,  1.65it/s, bound:154 nc:101 ncall:4.8e+04 eff:1.1% logz=33.70+/-0.13 dlogz:20.964>0.1]
513it [05:51,  1.66it/s, bound:157 nc:101 ncall:4.9e+04 eff:1.1% logz=34.14+/-0.13 dlogz:20.518>0.1]
521it [05:56,  1.66it/s, bound:159 nc:101 ncall:4.9e+04 eff:1.1% logz=34.56+/-0.13 dlogz:20.077>0.1]
529it [06:01,  1.66it/s, bound:162 nc:101 ncall:5.0e+04 eff:1.1% logz=34.96+/-0.13 dlogz:19.648>0.1]
537it [06:05,  1.66it/s, bound:165 nc:101 ncall:5.1e+04 eff:1.1% logz=35.33+/-0.13 dlogz:19.256>0.1]
545it [06:10,  1.66it/s, bound:167 nc:101 ncall:5.2e+04 eff:1.1% logz=35.66+/-0.13 dlogz:18.898>0.1]
553it [06:15,  1.66it/s, bound:170 nc:101 ncall:5.3e+04 eff:1.1% logz=35.98+/-0.13 dlogz:18.560>0.1]
561it [06:20,  1.67it/s, bound:173 nc:101 ncall:5.3e+04 eff:1.1% logz=36.30+/-0.13 dlogz:18.224>0.1]
569it [06:25,  1.65it/s, bound:175 nc:101 ncall:5.4e+04 eff:1.0% logz=36.63+/-0.13 dlogz:17.875>0.1]
577it [06:29,  1.67it/s, bound:178 nc:101 ncall:5.5e+04 eff:1.0% logz=36.93+/-0.13 dlogz:17.555>0.1]
585it [06:34,  1.67it/s, bound:181 nc:101 ncall:5.6e+04 eff:1.0% logz=37.23+/-0.13 dlogz:17.231>0.1]
593it [06:39,  1.67it/s, bound:183 nc:101 ncall:5.7e+04 eff:1.0% logz=37.49+/-0.13 dlogz:16.944>0.1]
601it [06:44,  1.67it/s, bound:186 nc:101 ncall:5.7e+04 eff:1.0% logz=37.73+/-0.12 dlogz:16.683>0.1]
609it [06:49,  1.67it/s, bound:189 nc:101 ncall:5.8e+04 eff:1.0% logz=37.97+/-0.12 dlogz:16.427>0.1]
617it [06:53,  1.67it/s, bound:191 nc:101 ncall:5.9e+04 eff:1.0% logz=38.20+/-0.12 dlogz:16.166>0.1]
624it [06:58,  1.61it/s, bound:194 nc:202 ncall:6.0e+04 eff:1.0% logz=38.40+/-0.12 dlogz:15.951>0.1]
632it [07:03,  1.63it/s, bound:197 nc:101 ncall:6.1e+04 eff:1.0% logz=38.63+/-0.12 dlogz:15.708>0.1]
640it [07:08,  1.63it/s, bound:199 nc:101 ncall:6.1e+04 eff:1.0% logz=38.89+/-0.12 dlogz:15.434>0.1]
648it [07:13,  1.64it/s, bound:202 nc:101 ncall:6.2e+04 eff:1.0% logz=39.16+/-0.12 dlogz:15.134>0.1]
656it [07:17,  1.66it/s, bound:205 nc:101 ncall:6.3e+04 eff:1.0% logz=39.42+/-0.12 dlogz:14.859>0.1]
664it [07:22,  1.66it/s, bound:207 nc:101 ncall:6.4e+04 eff:1.0% logz=39.66+/-0.13 dlogz:14.594>0.1]
672it [07:27,  1.66it/s, bound:210 nc:101 ncall:6.5e+04 eff:1.0% logz=39.93+/-0.13 dlogz:14.308>0.1]
680it [07:32,  1.67it/s, bound:213 nc:101 ncall:6.6e+04 eff:1.0% logz=40.19+/-0.13 dlogz:14.022>0.1]
688it [07:36,  1.68it/s, bound:215 nc:101 ncall:6.6e+04 eff:1.0% logz=40.46+/-0.13 dlogz:13.733>0.1]
696it [07:41,  1.67it/s, bound:218 nc:101 ncall:6.7e+04 eff:1.0% logz=40.72+/-0.13 dlogz:13.458>0.1]
704it [07:46,  1.68it/s, bound:221 nc:101 ncall:6.8e+04 eff:1.0% logz=40.94+/-0.13 dlogz:13.214>0.1]
712it [07:51,  1.69it/s, bound:223 nc:101 ncall:6.9e+04 eff:1.0% logz=41.15+/-0.13 dlogz:12.984>0.1]
720it [07:55,  1.68it/s, bound:226 nc:101 ncall:7.0e+04 eff:1.0% logz=41.36+/-0.13 dlogz:12.751>0.1]
727it [08:00,  1.62it/s, bound:229 nc:101 ncall:7.0e+04 eff:1.0% logz=41.53+/-0.13 dlogz:12.560>0.1]
735it [08:05,  1.63it/s, bound:231 nc:101 ncall:7.1e+04 eff:1.0% logz=41.72+/-0.13 dlogz:12.352>0.1]
743it [08:10,  1.65it/s, bound:234 nc:101 ncall:7.2e+04 eff:1.0% logz=41.91+/-0.13 dlogz:12.143>0.1]
751it [08:15,  1.65it/s, bound:237 nc:101 ncall:7.3e+04 eff:1.0% logz=42.09+/-0.13 dlogz:11.936>0.1]
759it [08:19,  1.67it/s, bound:239 nc:101 ncall:7.4e+04 eff:1.0% logz=42.27+/-0.12 dlogz:11.738>0.1]
767it [08:24,  1.67it/s, bound:242 nc:101 ncall:7.4e+04 eff:1.0% logz=42.44+/-0.12 dlogz:11.552>0.1]
775it [08:29,  1.66it/s, bound:245 nc:101 ncall:7.5e+04 eff:1.0% logz=42.60+/-0.12 dlogz:11.366>0.1]
783it [08:34,  1.66it/s, bound:247 nc:101 ncall:7.6e+04 eff:1.0% logz=42.76+/-0.12 dlogz:11.182>0.1]
791it [08:38,  1.67it/s, bound:250 nc:101 ncall:7.7e+04 eff:1.0% logz=42.92+/-0.12 dlogz:11.009>0.1]
799it [08:43,  1.66it/s, bound:253 nc:101 ncall:7.8e+04 eff:1.0% logz=43.07+/-0.12 dlogz:10.838>0.1]
807it [08:48,  1.66it/s, bound:255 nc:101 ncall:7.8e+04 eff:1.0% logz=43.23+/-0.12 dlogz:10.655>0.1]
815it [08:53,  1.66it/s, bound:258 nc:101 ncall:7.9e+04 eff:1.0% logz=43.38+/-0.12 dlogz:10.482>0.1]
823it [08:58,  1.64it/s, bound:261 nc:109 ncall:8.0e+04 eff:1.0% logz=43.52+/-0.12 dlogz:10.321>0.1]
831it [09:03,  1.61it/s, bound:263 nc:103 ncall:8.1e+04 eff:1.0% logz=43.66+/-0.12 dlogz:10.166>0.1]
839it [09:08,  1.61it/s, bound:266 nc:103 ncall:8.2e+04 eff:1.0% logz=43.79+/-0.12 dlogz:10.017>0.1]
847it [09:13,  1.58it/s, bound:269 nc:110 ncall:8.3e+04 eff:1.0% logz=43.91+/-0.12 dlogz:9.873>0.1] 
855it [09:19,  1.57it/s, bound:271 nc:101 ncall:8.3e+04 eff:1.0% logz=44.03+/-0.12 dlogz:9.736>0.1]
863it [09:25,  1.49it/s, bound:274 nc:127 ncall:8.4e+04 eff:1.0% logz=44.14+/-0.12 dlogz:9.602>0.1]
871it [09:30,  1.48it/s, bound:277 nc:120 ncall:8.5e+04 eff:1.0% logz=44.25+/-0.12 dlogz:9.474>0.1]
879it [09:36,  1.43it/s, bound:280 nc:118 ncall:8.6e+04 eff:1.0% logz=44.35+/-0.12 dlogz:9.348>0.1]
887it [09:42,  1.38it/s, bound:283 nc:114 ncall:8.7e+04 eff:1.0% logz=44.46+/-0.12 dlogz:9.221>0.1]
895it [09:49,  1.34it/s, bound:286 nc:134 ncall:8.8e+04 eff:1.0% logz=44.56+/-0.12 dlogz:9.096>0.1]
903it [09:55,  1.30it/s, bound:289 nc:144 ncall:8.9e+04 eff:1.0% logz=44.66+/-0.12 dlogz:8.975>0.1]
910it [10:02,  1.24it/s, bound:293 nc:138 ncall:9.0e+04 eff:1.0% logz=44.75+/-0.12 dlogz:8.872>0.1]
918it [10:08,  1.25it/s, bound:297 nc:138 ncall:9.1e+04 eff:1.0% logz=44.84+/-0.12 dlogz:8.758>0.1]
926it [10:15,  1.23it/s, bound:301 nc:135 ncall:9.2e+04 eff:1.0% logz=44.93+/-0.12 dlogz:8.647>0.1]
934it [10:21,  1.22it/s, bound:305 nc:133 ncall:9.3e+04 eff:1.0% logz=45.03+/-0.12 dlogz:8.535>0.1]
942it [10:28,  1.20it/s, bound:309 nc:139 ncall:9.4e+04 eff:1.0% logz=45.12+/-0.12 dlogz:8.421>0.1]
950it [10:36,  1.17it/s, bound:313 nc:142 ncall:9.5e+04 eff:1.0% logz=45.21+/-0.12 dlogz:8.310>0.1]
958it [10:42,  1.17it/s, bound:317 nc:150 ncall:9.7e+04 eff:1.0% logz=45.30+/-0.12 dlogz:8.201>0.1]
966it [10:50,  1.15it/s, bound:321 nc:135 ncall:9.8e+04 eff:1.0% logz=45.39+/-0.12 dlogz:8.092>0.1]
