
0it [00:00, ?it/s]
651it [00:12, 64.97it/s, bound:0 nc:  5 ncall:2.0e+03 eff:32.4% logz=-24.93+/-0.16 dlogz:71.259>0.1]
660it [00:12, 66.93it/s, bound:0 nc: 16 ncall:2.1e+03 eff:32.1% logz=-22.94+/-0.16 dlogz:69.225>0.1]
668it [00:12, 59.65it/s, bound:0 nc: 19 ncall:2.1e+03 eff:31.8% logz=-21.22+/-0.16 dlogz:67.492>0.1]
675it [00:12, 55.01it/s, bound:0 nc:  3 ncall:2.1e+03 eff:31.4% logz=-18.96+/-0.17 dlogz:65.219>0.1]
681it [00:12, 51.68it/s, bound:0 nc:  6 ncall:2.2e+03 eff:31.2% logz=-17.51+/-0.16 dlogz:63.880>0.1]
687it [00:12, 49.93it/s, bound:0 nc:  2 ncall:2.2e+03 eff:30.8% logz=-15.48+/-0.17 dlogz:61.872>0.1]
693it [00:12, 48.48it/s, bound:0 nc:  1 ncall:2.3e+03 eff:30.6% logz=-13.63+/-0.17 dlogz:59.917>0.1]
701it [00:13, 55.46it/s, bound:0 nc: 16 ncall:2.3e+03 eff:30.4% logz=-11.17+/-0.17 dlogz:57.393>0.1]
707it [00:13, 55.48it/s, bound:0 nc:  5 ncall:2.3e+03 eff:30.3% logz=-8.89+/-0.17 dlogz:55.168>0.1] 
713it [00:13, 48.34it/s, bound:0 nc:  8 ncall:2.4e+03 eff:29.9% logz=-6.93+/-0.17 dlogz:53.188>0.1]
719it [00:13, 39.83it/s, bound:0 nc: 10 ncall:2.4e+03 eff:29.4% logz=-5.41+/-0.17 dlogz:51.572>0.1]
726it [00:13, 43.33it/s, bound:0 nc: 13 ncall:2.5e+03 eff:29.2% logz=-4.33+/-0.16 dlogz:50.380>0.1]
739it [00:13, 61.30it/s, bound:0 nc:  1 ncall:2.5e+03 eff:29.4% logz=-2.41+/-0.16 dlogz:48.457>0.1]
746it [00:14, 46.74it/s, bound:0 nc:  1 ncall:2.6e+03 eff:28.8% logz=-1.46+/-0.16 dlogz:47.464>0.1]
752it [00:14, 48.69it/s, bound:0 nc:  3 ncall:2.6e+03 eff:28.7% logz=-0.70+/-0.16 dlogz:46.666>0.1]
