mu sigma nu tau
1.3853191459527838 0.2600030290949262 4.2312427258009135 7.3961142434513185
1.3061631858989184 0.17251925450901173 1.3000965873472763 17.024838521619518
1.4442391380800421 0.2517034191221451 6.491133274854927 11.217574041988223
1.4624019730045605 0.25931199496628055 5.330718108146855 4.5921546000625755
1.3130152899418466 0.19183500506579645 6.155664325222977 5.29372754259758
1.3986869934736241 0.22754213380212165 5.89825624857265 12.640306226019337
1.3279950857680727 0.1805447678816229 6.235399280739614 14.907345881384138
1.3162226155947387 0.17456707979836492 4.963868739339175 9.421056832904188
1.439789164648642 0.20612541279456953 4.80405064749465 10.871501984013253
1.4017435589386453 0.2176026341897873 6.697606301096811 19.113764316638235
1.4798176540507904 0.4838706759829584 2.9928813511880508 2.389625634401278
1.2921908708051144 0.19293814536506906 7.361950612465476 2.9608541621419127
1.4202183211156496 0.23784748086259466 3.617794608367442 7.452028077349629
1.4367126528989091 0.2021228017443815 3.7685377080401947 12.057129204321257
1.3460275592757336 0.20293295669687794 2.6726370962861457 6.229113227445172
1.373443555678613 0.13353072268881447 2.0310637541190895 5.451114517970533
1.3835629438270765 0.2039361655953157 2.180910527035929 10.687026183559405
1.4593751246921065 0.2996939280258152 7.70251100397635 3.5347521427610973
1.314592448092084 0.33603805349285526 6.287188517329824 2.321657933794216
1.4308796897190292 0.22231180893483332 4.604703473712663 11.41703764352395
1.3390052661116483 0.18658927540889 1.8756484739907069 6.696139611772583
1.451072790928713 0.27933279981491504 4.6409464075833355 3.620934502119936
1.3312889329301547 0.19879691778535075 3.7539749305102097 4.972949790156392
1.3233181044777007 0.1042633257846426 2.4552293401730205 7.758178432385321
1.315568019533647 0.17143023300930924 5.004629798226614 6.399965743078244
1.4397889872472514 0.21867986546291898 7.621761115413587 12.42811667287534
1.3248509285299646 0.16979827686115898 4.770902415440814 10.255827471679089
1.3163094905843158 0.1402741486987385 4.078108512521691 2.783587372004497
1.387788409216446 0.16329747793805718 1.6884124499068784 5.777161666733109
1.3982111724472608 0.21138742702555213 5.085909987567302 13.910789606783062
1.394968801344742 0.22034935954670012 3.9364463148349493 8.192447236015042
1.3551235222616056 0.13384237011776648 1.7081307619119852 17.40159823001509
1.434039021155276 0.20784669254863336 7.575495148418254 13.323704044484145
1.3457952912840105 0.18260248821902925 6.9899656057574235 14.726480255449493
1.3955460825276402 0.22005644368914876 4.854720919872811 8.067453809245235
1.4241386727326804 0.19414401103401221 3.8685004662164055 12.449568765705546
1.2950163690454068 0.11548400668887956 2.500331935903449 6.2332243603657655
1.313297037442085 0.10583398161466671 3.263599412619629 7.483112415756999
1.3191408289435422 0.11369486133971143 6.007097369626408 18.412649358246505
1.4140689465018481 0.2408542866576511 4.708844200621297 5.768266495030446
1.3920617389730232 0.16206563724855405 1.9577147696521644 17.465515540493648
1.4179052280456292 0.2357313428728654 2.606717090993327 3.0715613646101616
1.4663897830303565 0.41312653448522063 4.473109246540645 2.600456673487073
1.3637488033003944 0.2722173574155244 5.8365312874744975 3.236577390639087
1.3394185391127835 0.1634762931536828 2.1121554826202154 16.13921365597147
1.3657119922623637 0.2191927744275005 7.261750860524404 5.490748200966291
1.2878655499700504 0.12243526578819998 2.326424816285449 4.130351985879143
1.362785015500204 0.2555429045007311 7.184311995909139 3.545772147908301
1.312363955960766 0.1139281983104481 6.112891423245569 16.06198205848616
1.315514229545272 0.11478338755329331 5.906658220941623 6.108325163943858
1.428085958058321 0.3669395426436604 6.301916308237734 2.8403811539757875
1.3963887668533586 0.16080909341846963 3.2478023152159174 8.648379713715993
1.3407527316610313 0.17631872568932747 7.386356206644994 12.901680848375479
1.3755722267983614 0.194277610204894 2.1725796374222615 8.776399359800063
1.322127416323385 0.1595296831108541 4.502953195062549 10.45269005987709
1.3043536247765883 0.12305793346121392 3.228433535822805 9.55015210076183
1.4607361237135916 0.36430206664794257 6.859611422245525 2.8426262982033927
1.3683923000905556 0.19487619917143817 3.1945582060526774 10.26153745442494
1.348006322303705 0.12257344479174084 1.9912553580084316 11.48380323033804
1.317730063352118 0.10928721491052981 1.5939808029995246 3.4940102400217805
1.428141676550152 0.3040026369992048 2.1965885576573223 2.6983653644868597
1.3359494688137603 0.17454787150974752 5.151144713326298 9.797803479943475
1.4152997853719265 0.3518180609331801 2.2840429809400487 2.671169726049568
1.3972645588141495 0.20132059479592865 4.9040425259115406 16.41681909003816
1.3677659774982311 0.1546145061829823 1.566929441142784 4.2236724951447755
1.3637363869456767 0.13039678720628486 2.909640899178938 10.604030850782973
1.3756958985023169 0.15904283115608517 7.483835866544527 8.278885849720405
1.3891011652274607 0.34678309391727463 7.5969267645688925 2.73303537476429
1.307132828732294 0.13827021207549556 6.423357815420065 9.03995615186198
1.300809496511085 0.1231138510191359 7.89052179381519 8.311984978179723
1.3677501704817923 0.27813332520319844 2.954915178275091 3.0517746797659835
1.3060872989992038 0.15375578551772032 4.067554806613188 5.4871083914657826
1.3297689138351072 0.10997177528711814 1.8105617294189953 4.535506960968488
1.3179818058962023 0.15518756852921475 1.3449522591441545 3.9959484713462583
1.3386454034465372 0.13323950277768853 5.911420683971862 5.426088860341455
1.3949008077962142 0.21535367692264437 4.957245109555301 7.724718391004588
1.4002128137248768 0.47286710893163486 7.546854611046805 2.3626278690117886
1.4703543868689808 1.0760763294442126 6.290102095524514 2.072133527689888
1.3435532720773005 0.14355458282482567 1.6650862067117052 10.594245911417607
1.3055353417182711 0.16354856766666406 7.323399189423663 4.4644024640307585
1.4035720422485138 0.2104124174770017 4.821925905587497 9.921590837876652
1.3933173625547424 0.1829475480428965 2.4405133655333637 17.770323217984796
1.4073868277831072 0.31977685329789945 2.4475593904763233 2.8582308317556766
1.422502586658231 0.21100500637612934 4.919286464475128 9.561486287502458
1.4276162543757103 0.44406104550646197 2.5832604852570586 2.413517627615776
1.3656164056919693 0.21330056175303405 1.517169880643325 3.3392998220591266
1.3122755962426054 0.13542650027237893 3.5436098885002707 2.84037322052496
1.2853302087774754 0.14452513841628012 6.61774235514896 2.972422497308194
1.3264201588456324 0.15748948619097014 4.762576910050822 12.001962229149806
1.4230972944994589 0.27589154291758305 4.621012244732113 3.8237568100399333
1.4108450492832423 0.19059237944072116 5.000949150205134 7.783171454373202
1.3239933701168478 0.12600623675671607 2.305071914838509 13.177052521991765
1.3979716038329881 0.29725305621124154 7.491057045286254 3.2244384985041625
1.400557034716948 0.19851634077986555 4.8829942601879734 16.296385450007996
1.3832684553695056 0.19182254102357912 6.625688357075198 19.67724089787929
1.3584551253070565 0.18688573424059707 6.463021399644554 10.823463424657815
1.3448573480594068 0.16019487079958594 1.9135025813587614 10.936050936599056
1.340256149045803 0.16543624638328727 7.575081194203202 17.890608394194
1.3507689048544178 0.20689131270146632 7.85495382291175 4.9901711026580795
1.3186999833663378 0.1341637291860762 3.371417945790347 14.17064082060634
1.311750840075278 0.14060950837723155 3.808232912459094 8.642918858168361
1.3165064980666905 0.16315861434931098 1.9755971315157506 4.8824214530144365
1.426454114730555 0.23667515700104158 6.048977366812204 5.5109425878236
1.4034942254143146 0.25055326649952736 4.865997552846309 4.295039909971342
1.3991645806739064 0.4897901564666248 4.479091785604922 2.3129710348742187
1.3982821722794174 0.17969612048850747 2.468429528191268 11.676913737283195
1.3566900400953628 0.23349160531232566 5.093757314443735 3.7476812830505306
1.3881697495649838 0.4797864315688384 5.3669543275453835 2.305187345066948
1.3940826696053255 0.21186622198877703 3.454276713128501 6.869770519637552
1.4009938497922128 0.3426537595083907 7.891971165671921 2.793727851863188
1.3197604816437662 0.13314471834392444 5.1528566154979645 16.235963758729294
1.4011087031285758 0.19097973394332482 2.2204230320623 5.588733081208699
1.3580231555834685 0.17347999260075067 3.345558755778868 17.793451019809858
1.4195743696767789 0.24691544075985314 7.5308631271505275 4.762729809095612
1.4138775451073766 0.6529146738831366 2.2101761616165456 2.1480112662093407
1.3632529253015662 0.2542251079846538 3.024440690014278 3.2616272286354357
1.3447685002060923 0.12825516865083922 3.625456600796711 5.206492387673573
1.3728269516052503 0.2269531377275378 6.689810838718419 2.835465591424919
1.4138403834574227 0.1972549700893009 4.990091883917714 11.680759642017364
1.3292672624085222 0.1553706448309543 5.399700197421955 12.319643613440693
1.3224582368501956 0.1155525957472159 3.453005906214544 8.69841183979724
1.4197087984293595 0.21356732710230636 5.176466862819106 7.113831081939363
1.4475175951117247 0.5435517445037849 3.8629672521485166 2.225368012572007
1.4198095049314956 0.3531288543690857 2.1267620068698507 2.4249984918986858
1.352787427162872 0.13528259574522042 6.443845055627124 17.09976101817333
1.3519527505850253 0.18458536864632039 4.995728998591443 8.007967067797184
1.3999155235776006 0.2044090127627068 2.475433310499416 5.832284170758338
1.3998737371234795 0.2833571517967167 1.903349886219826 2.4962153847411512
1.3905366646914694 0.17029522195283917 7.339439888415556 10.975129502244673
1.3732893578102243 0.14260861907668293 3.069372074095375 15.577673773746788
1.3583903844532799 0.16760425251438896 5.968227259133506 3.8113844474816223
1.3227543979149319 0.15075360404070282 7.383459684152547 10.113634589779982
1.3987946110904748 0.20515272433738752 4.230435829622595 8.4385064466177
1.3940334789755846 0.171679185636872 4.376517641938703 8.107094263715839
1.3534369000027304 0.188601017786756 2.795100259446021 6.301017880297019
1.3587897965427789 0.19420438322717293 3.2678028260864194 6.257163614257287
1.3319192800596955 0.150211529659942 6.28280626178752 17.726184120917253
1.3393197394735539 0.1588494689740442 5.120626117365345 16.869763317473442
1.4125900519877437 0.1952140112342572 6.481688223389957 10.040026554792846
1.379021010776846 0.15232559814610086 2.18831540922665 8.7538326888801
1.3228234170623254 0.1881427961368814 5.909930125107987 3.9690245066453222
1.352890239517376 0.1916991714470887 7.757079704041134 3.114976971460129
1.3290428859991863 0.12423647911085983 1.8788902980156228 7.279259529669179
1.3744275653858615 0.16673420792984445 2.2714091312316755 15.31564504429063
1.357516284550829 0.16069460673218022 5.041964852037116 3.791628402903237
1.3643289440779234 0.1902922189265791 7.517182314186391 8.691013534086283
1.382653588797934 0.1951832299950667 6.196739483151205 10.398009794881373
1.3744559858460659 0.14639590658711332 3.76398299860374 18.5983113911693
1.374082423954142 0.1589010633480087 3.5320785482794923 4.5532746161594755
1.4075321939501462 0.1877345701269992 5.064342159298792 13.967352121483
1.4021193499093312 0.31200189963874336 5.086396055652441 2.98144616465353
1.3678189303244381 0.17323302297899534 2.8983243312185594 17.709223413013426
1.3731152996977976 0.21909467761405163 2.0223377828138838 3.876016932123995
1.3612733904771803 0.14367252675444717 6.682984661477201 12.934780472222842
1.333372247196553 0.15809886245474045 5.039247042917069 3.0458986296893897
1.330945781632863 0.14932815645110697 3.7550340555015307 13.736997320273762
1.4060785987548408 0.20071672287069955 7.30289564234673 10.898612124836845
1.3753103188049947 0.580930114937768 7.322857196767698 2.099443828334928
1.394879819869625 0.1886154681723577 4.865802338162466 17.392804761352235
1.3737871364437881 0.17874827897078183 3.3171450134418774 16.387344523514322
1.3467392650341896 0.16371554734508115 4.825782220997498 16.880899342306392
1.3794071528099356 0.19381511884348882 4.861988438592164 3.399228219225926
1.3238320162660036 0.1904093716869585 4.536321383110581 3.828330284971109
1.38552010858262 0.20420907583191925 6.326905296368697 7.535947347977805
