mlo mup
0.9279254671706965 2.033092655895342
1.0801076888497714 2.06735936484617
0.9626558753322532 1.9649835080879854
1.0374624105106367 2.0285240065895866
1.094909623836175 2.0538268746719957
1.1489234216467574 2.0531372368144085
1.0494191418313197 2.025159768831343
1.155307570260332 2.045127049009181
1.0328790529157728 2.006758865339959
0.9496315437494375 1.9012191292524354
1.174398365999827 2.006818780572266
0.9746445091301597 1.9364498454615753
1.1819974589767157 1.9287213407541028
0.984074243858035 1.9461547933805068
1.0016860318303755 1.965715754003737
1.055687369479605 2.00895407854655
1.1302070782576266 2.0288045652865243
1.0206018579025466 1.9720401168652153
1.1726427507868884 1.999000303767302
0.9957218112886145 1.9420989946405607
1.1731045472858275 1.9949741967785721
1.093373997973845 2.018930989015314
0.9875314050128 1.9259484394413138
1.13561181237554 2.0233084084403026
1.1536605984368284 2.017921061661751
1.052010000908255 1.993380949682112
1.0364957182604697 1.9788598495732792
1.1196850858413359 2.019616279923028
0.9800162844335188 1.9005258542485008
0.9979480322780294 1.929169331613939
1.0184889702187088 1.9531367320937445
1.1222863026819874 2.015319365162653
1.055898995549862 1.9853051521699896
1.0709686400059515 1.991370461924269
1.1246147773168729 2.0096058048452785
1.0180399927834782 1.9427018766484732
1.1643457141535176 1.996187066161476
1.1787241131558388 1.936367021751553
1.1012366482973306 2.0039122864730063
1.0170798407452548 1.9393100004810713
1.0208693961611628 1.9425905800276957
1.0321822383442842 1.9540310898301676
1.0434349751632943 1.9645127163266434
1.0187180178441317 1.9375627896802698
1.0781195689639265 1.9900644872714164
1.035713500812461 1.9562246784561175
1.116615816847595 2.0037694628088154
1.0056407148355806 1.9178150353215049
1.0307696928171122 1.9488375031648775
1.0921424827732538 1.9945594065209924
1.0719318452103477 1.983325026523159
1.0254195315177967 1.9412947953514634
1.1368059301194844 2.001802710525732
1.1253901593417535 2.001769877799096
1.0373074807264353 1.9528436244714091
1.0152429571710537 1.925944587003358
1.0105069295872973 1.9182376856496675
1.0898501355882972 1.9905791117196527
1.0167462971644683 1.922941491088487
1.1549224904590099 1.9920656769687568
1.0499115739051361 1.9602507238047904
1.1185604553691886 1.9966341783633978
1.145120250651546 1.9934646159770126
1.0275730223436834 1.9311890963345955
1.0151954873604605 1.913552663798766
1.1117195297120102 1.9913612048240272
1.1512755437289535 1.9892729425057838
1.1625813500617825 1.982490715895749
1.102249904937107 1.9879922101905505
1.1039530691050647 1.9878007202533379
1.0687766491371176 1.9685135727433611
1.0506355874886755 1.9529382784908789
1.0660802447520967 1.966121179998913
1.076909499188617 1.9734169220003586
1.1725857286519352 1.9621073784847851
1.0825917899300082 1.974583145700952
