mu1 sigma1 mu2 sigma2 alpha mup mlo
1.2032701684306728 0.26301242667349517 2.3475741810245325 0.6972085660202993 0.7970284738862208 1.9090510592387273 1.0702625774216834
1.2300946324164346 0.14903159380199468 1.4406659394940344 1.104155134552278 0.9918178402846318 2.270556424866422 1.1554740705887339
1.0363422367658828 0.19734176914379037 1.7553280846508477 1.798678154439278 0.6838524734353181 2.844513023028961 1.1573138152005409
1.2515868160824917 0.06543545676259388 1.8684278409916806 0.7591395392528337 0.4562418704486271 2.0892880025036495 0.9712246352775091
1.1727452394965179 0.10928974505755157 1.5967385560831324 0.3157103307916201 0.5281529303398321 2.6247469298150183 1.129254965584233
1.0235758198305909 0.30332528142383547 2.5881139773354276 0.7760803349543905 0.82595991409436 2.3104211188480654 1.1327400292552658
1.3098597815233872 0.0845007657746389 2.123394717322209 0.25025065387632317 0.9508071853761378 2.423612911769544 1.0019729418137415
0.9101846332757655 1.283866421430171 0.9969560990295067 0.28022177588479596 0.5316500275440021 2.070215363657332 1.1553930608204201
1.183344044054064 0.16165265847034704 1.6085712116819726 0.6236344831560524 0.9676671952061099 1.9559899311239555 1.1251305215318521
1.2848567740193229 0.12274804411279007 1.3834693774334736 1.117928415813378 0.6216002829394174 2.07965295255133 0.9984841302956757
1.1631767688854244 0.16709836033556333 1.5419575895110667 0.38243221142433087 0.7823460376053095 2.164507003650915 1.0901978685807057
1.3023052263118577 0.11132673889818043 2.2447138512607685 1.471334558742959 0.5265366690160856 2.088993067892178 1.1235641999735837
0.9381096183425625 0.29926645156536663 1.084582813574906 0.7806631609843879 0.7167643606671371 2.3416284892548425 1.1241049385436315
1.090513005443727 0.19901183907489223 1.4802337920482804 1.6272214419199695 0.9499796463262067 2.0338729092821635 1.1237963226714196
1.2812532140383 0.13011225647823796 2.377821600917735 1.1644605399121293 0.8674654378363746 2.6516740058367425 1.1059535097027562
0.9503468836460046 0.12041301638848378 1.5188859229776903 0.4711355530522236 0.6256107755984593 2.000393019749742 1.1776365171740235
1.3081059374291262 0.10861109522824189 1.4860949707580011 1.6037167832902588 0.5821274377922495 2.047219390418713 0.9902625686078046
0.9479823201455636 0.42806524947380237 1.093817528291079 1.8875382535022012 0.8111262119798756 1.9399845775496376 1.171452515489881
1.208901233888625 0.17741626511699726 2.182229500984659 0.4017261414857943 0.7930166421138588 2.4326409819993815 1.1522132758780772
1.092826430053004 0.27332160459572896 1.8193099500178609 1.3205538694430643 0.6398331689407327 2.1019680278403694 1.1598909534565283
1.2416136060782275 0.10064555000911199 2.430169660540393 1.1808680431873364 0.7909724041420407 2.3930447041223553 1.0910908429776813
0.9206871162729693 0.31747290166112613 1.4833378550006737 1.1518214844942842 0.864650816148229 2.4588544932673466 1.1275486514531006
1.2629711355298339 0.05015487178086289 1.6605067978557893 1.257923541117836 0.7640170425620219 2.6028768025552687 1.131359615719717
0.9757520405933866 0.13976680727888965 1.0213590808167083 0.24673661046727924 0.07733247357349797 2.550216243560322 1.1558888167602799
1.255110865096161 0.11149229374850225 1.9975486882721034 0.38261320087861067 0.8141824262328706 2.291119874069874 1.0556294229742822
1.2193897731081196 0.05023174844754356 1.4329085752661603 0.3200071938571252 0.5936188072317141 2.3049630606550404 1.0714506519766507
1.2960502736537982 0.11746765412083343 1.5137407423762461 0.4900716594933079 0.9118712082731577 2.5296356848366135 1.0415392708006443
1.2990852035321532 0.07074813626501922 2.202440117252768 1.0228256919918803 0.4698402563126841 1.989839519712152 0.9644834468262323
1.2480821849605155 0.08073386540523432 1.3601309989333532 1.7615551990348117 0.5764777140776992 2.30985331555692 1.123135820631395
0.9625585428040159 0.4245161420948975 1.293603476172451 0.13000900759392633 0.37791733313928555 2.379750179341211 1.0808442321901641
1.0412568833804283 0.22037416731615944 2.502377747219332 1.5893943656003988 0.5428680205710191 1.974701319186279 1.1352221359468218
0.9315401852462655 0.22241305290941565 1.4305339690169818 0.6504533034469563 0.6355117945367291 2.8855829846047043 1.1791396771822393
1.0915717377750966 0.29566843720161995 2.8822529235899603 0.6764209996557856 0.950094302609093 2.6864405683708528 1.1427126358026947
1.255344819250373 0.07174940263354998 1.5057739425722447 1.6951890048459115 0.8450287367881271 2.3485837980508757 0.9098301615316652
1.3447131876590612 0.10787989550219745 2.133481764795864 1.745440306874676 0.6748756009886054 1.940821636948403 1.1689258202481538
1.2398822755802508 0.07037706034591922 2.1752714908013453 1.0265666390668373 0.5749693296500246 2.13534129694617 1.1195887518863248
1.0403065669199583 0.34427027437275404 2.577134139091866 1.0147275765428727 0.9075460238078559 2.1088339762146733 1.1404842780840576
