
0it [00:00, ?it/s]
194it [00:44, 14.55it/s, bound:0 nc:10 ncall:1406 eff:13.8% logz=1.21+/-0.12 dlogz:52.171>0.10]
199it [00:44, 19.72it/s, bound:0 nc:6 ncall:1417 eff:14.0% logz=1.60+/-0.12 dlogz:51.760>0.10] 
202it [00:44, 20.44it/s, bound:0 nc:9 ncall:1436 eff:14.1% logz=1.82+/-0.12 dlogz:51.522>0.10]
206it [00:44, 23.07it/s, bound:0 nc:3 ncall:1449 eff:14.2% logz=2.11+/-0.12 dlogz:51.221>0.10]
210it [00:44, 24.90it/s, bound:0 nc:9 ncall:1470 eff:14.3% logz=2.51+/-0.12 dlogz:50.858>0.10]
213it [00:44, 21.90it/s, bound:0 nc:11 ncall:1492 eff:14.3% logz=2.83+/-0.12 dlogz:50.530>0.10]
218it [00:44, 26.93it/s, bound:0 nc:6 ncall:1508 eff:14.5% logz=3.33+/-0.13 dlogz:49.992>0.10] 
221it [00:45, 22.92it/s, bound:0 nc:12 ncall:1531 eff:14.4% logz=3.58+/-0.13 dlogz:49.725>0.10]
226it [00:45, 26.93it/s, bound:0 nc:5 ncall:1546 eff:14.6% logz=4.04+/-0.13 dlogz:49.283>0.10] 
229it [00:45, 18.53it/s, bound:0 nc:2 ncall:1585 eff:14.4% logz=4.33+/-0.13 dlogz:48.967>0.10]
232it [00:45, 19.76it/s, bound:0 nc:1 ncall:1601 eff:14.5% logz=4.62+/-0.13 dlogz:48.673>0.10]
235it [00:46, 15.52it/s, bound:0 nc:25 ncall:1648 eff:14.3% logz=4.90+/-0.13 dlogz:48.393>0.10]
238it [00:46, 16.54it/s, bound:0 nc:18 ncall:1671 eff:14.2% logz=5.20+/-0.13 dlogz:48.078>0.10]
240it [00:46, 14.18it/s, bound:0 nc:5 ncall:1711 eff:14.0% logz=5.37+/-0.13 dlogz:47.893>0.10] 
242it [00:46, 14.60it/s, bound:0 nc:4 ncall:1732 eff:14.0% logz=5.54+/-0.13 dlogz:47.721>0.10]
247it [00:46, 19.00it/s, bound:0 nc:13 ncall:1763 eff:14.0% logz=5.96+/-0.13 dlogz:47.283>0.10]
250it [00:46, 19.13it/s, bound:0 nc:7 ncall:1793 eff:13.9% logz=6.20+/-0.13 dlogz:47.026>0.10] 
253it [00:46, 20.61it/s, bound:0 nc:18 ncall:1817 eff:13.9% logz=6.41+/-0.12 dlogz:46.798>0.10]
257it [00:47, 24.05it/s, bound:0 nc:7 ncall:1845 eff:13.9% logz=6.65+/-0.12 dlogz:46.541>0.10] 
260it [00:47, 19.57it/s, bound:0 nc:6 ncall:1889 eff:13.8% logz=6.84+/-0.12 dlogz:46.349>0.10]
263it [00:47, 18.27it/s, bound:0 nc:2 ncall:1932 eff:13.6% logz=7.04+/-0.12 dlogz:46.151>0.10]
266it [00:47, 20.28it/s, bound:0 nc:4 ncall:1955 eff:13.6% logz=7.24+/-0.12 dlogz:45.946>0.10]
270it [00:47, 22.31it/s, bound:0 nc:15 ncall:1998 eff:13.5% logz=7.53+/-0.12 dlogz:45.643>0.10]
