
0it [00:00, ?it/s]
996it [00:07, 55.14it/s, bound:0 nc: 14 ncall:4.3e+03 eff:23.0% logz=16.25+/-0.15 dlogz:26.842>0.1]
1003it [00:07, 44.98it/s, bound:0 nc:  9 ncall:4.4e+03 eff:22.6% logz=16.52+/-0.15 dlogz:26.559>0.1]
1009it [00:07, 38.86it/s, bound:0 nc: 43 ncall:4.5e+03 eff:22.3% logz=16.74+/-0.15 dlogz:26.316>0.1]
1014it [00:07, 40.22it/s, bound:0 nc: 28 ncall:4.6e+03 eff:22.2% logz=16.93+/-0.15 dlogz:26.118>0.1]
1019it [00:07, 34.78it/s, bound:0 nc: 17 ncall:4.7e+03 eff:21.8% logz=17.09+/-0.14 dlogz:25.935>0.1]
1023it [00:08, 29.98it/s, bound:0 nc: 57 ncall:4.8e+03 eff:21.5% logz=17.22+/-0.14 dlogz:25.801>0.1]
1028it [00:08, 33.65it/s, bound:0 nc: 16 ncall:4.8e+03 eff:21.3% logz=17.37+/-0.14 dlogz:25.634>0.1]
1034it [00:08, 37.25it/s, bound:0 nc: 12 ncall:4.9e+03 eff:21.2% logz=17.57+/-0.14 dlogz:25.427>0.1]
1039it [00:08, 33.83it/s, bound:0 nc: 23 ncall:5.0e+03 eff:20.9% logz=17.72+/-0.14 dlogz:25.256>0.1]
1043it [00:08, 34.60it/s, bound:0 nc: 19 ncall:5.0e+03 eff:20.7% logz=17.85+/-0.14 dlogz:25.123>0.1]
1051it [00:08, 42.10it/s, bound:0 nc: 38 ncall:5.1e+03 eff:20.6% logz=18.10+/-0.14 dlogz:24.847>0.1]
1056it [00:08, 37.18it/s, bound:0 nc: 26 ncall:5.2e+03 eff:20.3% logz=18.31+/-0.15 dlogz:24.637>0.1]
1061it [00:09, 36.50it/s, bound:0 nc: 25 ncall:5.3e+03 eff:20.1% logz=18.53+/-0.15 dlogz:24.406>0.1]
1071it [00:09, 46.81it/s, bound:0 nc: 25 ncall:5.3e+03 eff:20.0% logz=18.95+/-0.15 dlogz:23.959>0.1]
1076it [00:09, 39.63it/s, bound:0 nc:  3 ncall:5.4e+03 eff:19.8% logz=19.18+/-0.15 dlogz:23.724>0.1]
1082it [00:09, 41.90it/s, bound:0 nc:  9 ncall:5.5e+03 eff:19.7% logz=19.42+/-0.15 dlogz:23.460>0.1]
1087it [00:09, 42.70it/s, bound:0 nc:  9 ncall:5.5e+03 eff:19.6% logz=19.61+/-0.15 dlogz:23.259>0.1]
1092it [00:09, 41.94it/s, bound:0 nc:  7 ncall:5.6e+03 eff:19.5% logz=19.80+/-0.15 dlogz:23.056>0.1]
1097it [00:09, 37.19it/s, bound:0 nc:  5 ncall:5.7e+03 eff:19.2% logz=20.00+/-0.15 dlogz:22.839>0.1]
