name,m,merr,mc,mcerr,p0,p1,pb,pmra,pmdec,gl,gb,dl,pdot_int,tc,p0_birth_lim,p1_birth_lim,tc_b,tmax
J1946+3417,1.828,0.022,0.2556,0.0,0.0031701391788577,3.1180000000000002e-21,27.01994783,-7.01,4.51,69.294,4.713,6.941,1.1070341730155157e-21,45.371521101602205,0.002759218135473138,1.2719010356928652e-21,4.514676958719822,11.0
J1910-5959A,1.33,0.11,0.18,0.0,0.0032661865707905,2.94703e-21,0.83711347691,-3.08,-3.97,336.525,-25.73,4.0,5.566275594374206e-21,9.296989083402314,0.001,1.818049459566394e-20,0.8714858566495375,8.425503226752777
J0751+1807,1.64,0.15,0.16,0.0,0.0034787708392794,7.787399999999999e-21,0.263144270792,-2.73,-13.4,202.73,21.086,1.11,6.039005102694867e-21,9.126966608355481,0.000999999999999999,2.100831484951442e-20,0.7541796674558457,8.372786940899635
J2234+0611,1.353,0.017,0.298,0.0,0.0035765816316731,1.201419e-20,32.00140163,25.3,9.71,72.991,-43.006,0.971,6.373856898946578e-21,8.890616357988149,0.0010000000000000005,2.2796619507685183e-20,0.6950172547150305,8.195599103273118
J1950+2414,1.496,0.023,0.28,0.0,0.0043047754832565,1.8805e-20,22.19137127,-2.12,-3.64,61.098,-1.169,7.269,2.0088392422918142e-20,3.3952468834062945,0.0009999999999999994,8.647601920021372e-20,0.1832189322953401,3.2120279511109544
J1713+0747,1.35,0.07,0.292,0.0,0.0045701365275817,8.529689999999999e-21,67.8251299222,4.915,-3.914,28.751,25.223,1.149,8.144408197659649e-21,8.890694332445477,0.001000000000000001,3.722105739966016e-20,0.4256742020219748,8.465020130423502
J1012+5307,1.72,0.16,0.165,0.0,0.0052557490141154,1.712794e-20,0.604672722901,2.98,-26.94,160.347,50.858,0.7,1.113442091230235e-20,7.478818952486823,0.000999999999999999,5.851972173257904e-20,0.27074708214468174,7.208071870342142
 J1857+0943,1.54,0.13,0.263,0.0,0.005362100466126,1.7839499999999998e-20,12.3271713828,-2.655,-5.408,42.29,3.06,1.2,1.7296989301522442e-20,4.9116845560889235,0.0009999999999999998,9.274819439626993e-20,0.170828596827667,4.740855959261257
J0437-4715,1.44,0.07,0.224,0.0,0.00575745193,5.7292147e-20,5.7410459,121.439,-71.475,253.394,-41.963,0.157,1.4012357150253115e-20,6.510062525047575,0.0010000000000000007,8.067547271857404e-20,0.19639232809064983,6.313670196956925
J1738+0333,1.47,0.07,0.181,0.0,0.0058500958597756,2.411992e-20,0.3547907398724,7.066,5.115,27.721,17.742,1.471,2.2437822475469648e-20,4.130934530918117,0.0010786816426776222,1.2168874223194196e-19,0.14044585386295944,3.9904886770551578
J1918-0642,1.29,0.1,0.231,0.0,0.007645872769642,2.569143e-20,10.91317757989,-7.149,-5.972,30.027,-9.123,1.111,2.3699159804904862e-20,5.111638761327831,0.0012385121880973296,1.4630518969222812e-19,0.134124028880084,4.977514732447747
J1802-2124,1.24,0.11,0.78,0.0,0.0126475935865227,7.256000000000001e-20,0.698889243381,-0.85,4.8,8.382,0.611,0.76,7.117967968216778e-20,2.8152561095767705,0.0024619169083611395,3.6567101723924917e-19,0.1066716194408545,2.708584490135916
J1949+3106,1.34,0.17,0.81,0.0,0.013138183343704,9.3913e-20,1.949535,-2.894,-5.093,66.858,2.554,7.468,9.326444356300744e-20,2.2319540631304227,0.0028096598419277237,4.3611163910098935e-19,0.10207563822659108,2.1298784249038314
J2045+3633,1.251,0.021,0.873,0.0,0.031681843248534,5.883e-19,32.297845,-3.2,-2.68,77.832,-3.926,5.629,5.939111134618806e-19,0.8451913158502312,0.009058570329151139,2.0771709129099205e-18,0.06909608888600548,0.7760952269642257
J2222-0137,1.831,0.01,1.319,0.0,0.03281785905,5.8027246e-21,2.44576456,44.73,-5.68,62.018,-46.075,0.267,1.54e-20,33.7641298521047,0.02694684917928327,1.8755255058114462e-20,0.11584248983444306,11.0
J0348+0432,2.01,0.04,0.172,0.0,0.0391226569017806,2.4075e-19,0.102424062722,4.04,3.5,183.337,-36.774,2.1,2.364852562925553e-19,2.621140545624739,0.006682382190775257,1.3845259489999222e-18,0.07647090826327353,2.5446696373614657
